
Graphie de eau :
lemme : aigue	Nombres d'occurrences : 55
Lemme : guise	10	3
guise	7
guisse	3

Lemme : las	5	2
las	3
lasse	2

Lemme : laschece	1	1
lassece	1

Lemme : lïon	32	3
liens	2
lion	9
lionesse	3
lions	18

Lemme : maison	108	3
meson	101
mesons	4
messon	3

Lemme : maisoncele	3	1
maisonceles	1
maissoncele	1
mesoncele	1

Lemme : orison	142	140
orisons	2
orisson	36
orissons	104

Lemme : prison	17	7
prison	7
prisons	3
prisson	6
prissons	1

Lemme : raison	21	4
raison	1
raisson	3
reison	2
reisons	1
reson	6
resons	7
ressons	1

Lemme : seignor	775	29
mesires	1
messires	29
monsigneur	71
monsignor	20
segnor	2
seigneur	1
seignor	15
seignors	2
signeur	13
signeurs	1
signor	404
signors	8
signour	3
sire	58
sires	147

Lemme : sisiesme	4	2
sisiesme	1
sisimes	1
sissieme	1
sissime	1

Lemme : tamise	1	1
tamisse	1

Lemme : träison	8	5
traïson	3
traïsson	5

Lemme : venice	2	1
venice	1
venisse	1



Graphie -s- pour -ss-

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : aussi	151	21
ausi	6
ausint	15
aussi	69
aussint	61

Lemme : bisse	2	2
bische	2

Lemme : cyparissus	1	1
quaparse	1

Lemme : essemplaire2	1	1
exemplaire	1

Lemme : essemple	24	24
example	13
examples	6
exemple	3
exemples	2

Lemme : fausseté	3	3
fauseté	3

Lemme : messie	1	1
mesnie	1

Lemme : paroisse	2	1
parosse	1
parroce	1



§50 s intérieur devant consonne entraine en r en pic

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : arceveschié	2	2
arcevesqié	2

Lemme : arcevesque	37	37
arcevesqe	8
arcevesqes	18
arcevesques	1
archevesqe	1
archevesqes	8
archevesque	1

Lemme : arester	48	18
arresta	11
arreste	2
arrestees	1
arrestent	3
arrester	15
arresterent	3
arrestez	2
arrestoien	1
arrestoient	4
arrestoit	5
rarestai	1

Lemme : cyparissus	1	1
quaparse	1

Lemme : desconforter	3	3
desconfortee	1
desconfortez	1
desconfortés	1

Lemme : descorder	1	1
descordé	1

Lemme : descovrir	10	2
descovert	2
descoverte	2
descoverz	1
descovri	1
descovriez	1
descovrir	1
descovrist	1
descuevre	1

Lemme : desfermer	5	3
defferma	1
desfermassent	1
desfermees	1
desfermer	2

Lemme : desroter	1	1
derroutes	1

Lemme : desrubant	1	1
derrubans	1

Lemme : desver	33	32
dervee	4
dervees	1
dervez	20
dervé	7
desver	1

Lemme : desverie	11	11
derverie	11

Lemme : enoscurcir	1	1
enobscurci	1

Lemme : escarteler	1	1
esqartelez	1

Lemme : escharnir	1	1
escharnir	1

Lemme : esclarcir	1	1
esclarciz	1

Lemme : esforcier	1	1
esforcier	1

Lemme : esforcier1	2	2
esforcier	1
esforciez	1

Lemme : esgarder	37	17
esgarda	2
esgardames	1
