A initiale en hiatus Mot	Nombres d'occurrences en ei	Nombre d'occurrences total
esmerveillames	1
esmerveille	1
esmerveilles	1
esmerveillierent	5
esmerveilliez	3
esmerveillions	1
esmerveilloie	1
esmerveilloient	1
esmervella	1
esmervellier	1
esmervellierent	2
esmervelloient	2
esmervelloit	1

(esteindre)	3	3
esteindre	1
esteinst	1
esteinte	1

(estraim)	2	2
estrein	2

(estre1)	2959	2
erent	18
ert	24
es	6
est	297
estant	3
ester	3
estes	20
estions	14
estoie	9
estoient	347
estoies	2
estoit	869
estre	68
estut	1
esté	71
eut	1
fu	565
fui	14
fumes	4
furent	130
fus	3
fusces	1
fusmes	1
fusse	5
fussent	36
fusses	2
fussiez	1
fussions	1
fust	125
fustes	2
iert	3
ies	25
seions	1
seit	1
seoit	2
sera	23
serai	3
seras	5
seroie	1
seroient	2
seroies	1
seroit	40
seront	7
serra	3
serras	2
soie	3
soient	14
soies	2
soiez	12
soions	4
soit	36
somes	18
sont	79
sui	29

(estreindre)	4	4
estreindre	1
estreinst	1
estreinstrent	1
estreinz	1

(esveillier)	14	9
esveilla	3
esveillier	2
esveillierent	3
esveilliez	1
esvella	1
esvellast	1
esvellastes	1
esvelliez	1
revellierent	1

(faim)	3	3
feim	3

(faire)	991	64
face	6
facent	2
faces	2
faciat	1
faciez	1
fai	6
faire	34
faisant	2
faisions	1
faisoient	8
faisoit	16
faissoient	2
faissoit	1
fait	53
faite	14
faites	2
faz	3
fei	1
feire	58
feisoient	2
feisoit	2
feites	1
fera	6
ferai	6
feras	2
fere	174
feroient	10
feroit	15
feroiz	1
feront	3
ferre	1
fes	5
fesant	2
fesions	1
fesoient	17
fesoies	1
fesoit	29
fet	104
fete	31
fetes	24
fez	12
feïmes	2
feïs	6
feïsse	2
feïssent	13
feïsses	1
feïssons	1
feïst	29
feïstes	3
feïz	1
firent	51
fis	2
fissent	1
fist	199
font	18

(fait1)	16	1
fais	3
feis	1
fes	2
fet	4
fez	6

(feindre)	1	1
feinstrent	1

(foie2)	77	1
feiz	1
foie	6
foies	1
fois	1
foiz	66
foïe	2

(fontaine)	6	6
fonteine	6

(germain)	1	1
germein	1

(grain)	2	2
grein	2

(ha!)	9	2
he	1
hee	6
heteia	2

(haire)	7	5
haire	2
heire	3
heires	2

(haitement)	2	2
heitiement	2

(haitieement)	1	1
heitiement	1

(haitier)	17	10
haitiez	2
haitié	2
heitez	1
heitiez	6
heitié	3
hertie	1
hetiez	2

(laidement)	1	1
leidement	1

(laidengier)	13	3
laidengassent	1
laidengier	3
laidengierent	1
laidengié	1
laidengoit	2
laidenja	1
ledengier	1
leidenga	1
leidengiez	1
leidengoient	1

(laiier2)	2	2
leiras	1
leiroit	1

(laine)	1	1
leine	1

(laissier)	144	3
lai	4
lairoit	1
lairons	1
laissai	1
lait	1
leissent	1
leissoient	1
leissons	1
lessa	39
lessai	1
lessas	1
lessasent	1
lessassent	5
lessast	13
lesse	2
lessent	1
lesseroient	1
lesseront	1
lesses	2
lessie	1
lessier	11
lessierent	21
lessiez	7
lessions	1
lessissons	1
lessié	8
lessoient	2
lessoit	4
lessons	4
lest	4
let	2

(lait1)	9	1
lai	1
laide	3
laidement	1
laides	1
leide	1
lez	2

(lait3)	3	1
lait	1
leiz	1
let	1

(lendemain)	27	27
lendemein	27

(lointain)	10	4
lointaignes	1
lointaine	1
lontaignes	1
lontaine	1
lontaines	2
lonteignes	3
lonteines	1

(lé)	4	1
lee	2
lees	1
leiz	1

(main2)	107	106
main	1
mein	47
meins	51
meinz	8

(maint)	60	59
maintes	1
meins	1
meint	19
meinte	2
meintes	34
meinz	3

(maintenant)	56	56
meintenant	55
meitenant	1

(maintenir)	15	14
maintint	1
meintenir	4
meintenissent	1
meintenist	1
meintenoit	3
meintenu	1
meintenue	1
meintiegne	1
meintient	1
meintint	1

(mauvais)	35	1
malvese	9
malveses	6
malvez	1
malvés	3
mauveise	1
mauvese	5
mauveses	1
mauvez	3
mauvés	6

(meillor)	7	2
meilleur	1
meillors	1
meller	1
mellor	1
miudre	3

(mener)	99	5
maine	1
meine	3
meinent	1
meint	1
mena	13
menassent	1
menast	2
menee	4
menees	1
mener	28
menerent	7
menez	5
mengast	1
mengons	1
menoient	4
menoit	19
menons	1
menroient	1
menroit	2
mené	3

(merveille)	25	14
merveille	12
merveilles	2
mervelle	11

(merveillier)	1	1
