POS=VERcjg|MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	Vousist	1	volsist	1	vousist	14																																																																																																																					
POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	velt	1	veut	2	viut	4	voeil	1	voel	1																																																																																																																	
POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	veul	1	voeil	2	voel	21																																																																																																																					
POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	Volez	1	volez	8																																																																																																																							
POS=VERcjg|MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	voldrai	1	voudrai	1																																																																																																																							
POS=VERcjg|MODE=con|PERS.=3|NOMB.=s	voudroit	6																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	volons	4																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	voudrent	7	vourent	1																																																																																																																							
POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=s	voloies	4																																																																																																																									
POS=VERcjg|MODE=con|PERS.=1|NOMB.=s	voudroie	4																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	voil	1																																																																																																																									
POS=VERinf|NOMB.=p|GENRE=m|CAS=r	voloirs	1																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=p	volions	1																																																																																																																									
POS=VERcjg|MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p	voellent	1																																																																																																																									
POS=VERcjg|MODE=cond|PERS.=3|NOMB.=s	voudroit	1																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	veus	4	vius	4																																																																																																																							
POS=VERcjg|MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	voudroiz	1																																																																																																																									
POS=NOMcom|NOMB.=s|GENRE=m|CAS=r	voloir	1																																																																																																																									
POS=VERcjg|MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=p	vousisses	1																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s	voloie	1																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	voudra	3																																																																																																																									
POS=VERinf|NOMB.=s|GENRE=m|CAS=r	voloir	2																																																																																																																									
POS=VERcjg|MODE=con|PERS.=1|NOMB.=p	voudrions	2																																																																																																																									
POS=VERcjg|MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	voelle	5																																																																																																																									
POS=VERcjg|MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p	vousissent	2																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p	vousistes	1																																																																																																																									
POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s	vousis	1																																																																																																																									
																																																																																																																											
																																																																																																																											
Alternance graphique o/ou/eu																																																																																																																											
Engignior	1	Engignieres	1																																																																																																																								
adjutor	1	adjutoz	1																																																																																																																								
aideor	3	aidieres	1	aidierres	2																																																																																																																						
amor	30	amor	26	amors	2	amour	2																																																																																																																				
ardor	1	ardeur	1																																																																																																																								
boisëor	1	boisieres	1																																																																																																																								
chalor	13	chaleur	11	chaleurs	2																																																																																																																						
changëor	2	changeur	1	changieres	1																																																																																																																						
color	2	couleurs	2																																																																																																																								
confessor	1	confessor	1																																																																																																																								
confessëor	33	confessor	24	confessors	8	confessorz	1																																																																																																																				
conseillëor	1	conseillieres	1																																																																																																																								
crïator	2	Creatour	1	crieres	1																																																																																																																						
defendëor	4	deffenderres	1	deffendeur	1	deffendierres	1	desfenderres	1																																																																																																																		
desor	23	deseur	2	deseure	21																																																																																																																						
destruisëor	1	destruisieres	1																																																																																																																								
devorëor	1	devorrieres	1																																																																																																																								
dolor	56	doleur	40	doleurs	5	dolor	11																																																																																																																				
dominator	1	Dominus	1																																																																																																																								
donëor	1	veneor	1																																																																																																																								
douçor	23	doceur	2	doceurs	1	douceur	9	douçor	4	douçour	1	doçor	6																																																																																																														
emperëor	117	empereor	52	empereors	4	emperere	1	empereres	45	empereror	1	empereur	1	em﻿pereor	6	em﻿pereres	7																																																																																																										
enchantëor	1	enchanteresses	1																																																																																																																								
entor	21	entor	19	entour	2																																																																																																																						
error1	5	erreur	2	erreurs	2	error	1																																																																																																																				
estor2	2	estor	1	estors	1																																																																																																																						
flor1	2	fleur	1	fleurs	1																																																																																																																						
for	1	for	1																																																																																																																								
frëor	1	freor	1																																																																																																																								
governëor	5	governeres	5																																																																																																																								
graignor	1	grignors	1																																																																																																																								
grandor	4	grandeur	4																																																																																																																								
guerredonëor	1	guerredonieres	1																																																																																																																								
jor	247	iorz	1	jor	175	jors	7	jorz	54	jour	10																																																																																																																
jugëor	3	Jucheor	1	jugieres	2																																																																																																																						
labor1	1	labor	1																																																																																																																								
laborëor	1	laboureor	1																																																																																																																								
langor	2	langor	1	languer	1																																																																																																																						
licor	7	licuieur	1	liqeur	1	liqueur	4	liquieur	1																																																																																																																		
lor2	414	leur	8	lor	406																																																																																																																						
meillor	7	meilleur	1	meillors	1	meller	1	mellor	1	miudre	3																																																																																																																
odor	3	odeur	1	odeurs	1	odors	1																																																																																																																				
onor	39	honeur	9	honor	3	honors	1	oneur	22	onor	2	ouneur	2																																																																																																														
or1	68	or	64	ors	4																																																																																																																						
or4	121	Or	90	hore	1	ore	24	ores	5	orez	1																																																																																																																
pastor	14	pasteur	9	pastor	5																																																																																																																						
pechëor	6	pecheor	1	pecheors	2	pechierres	3																																																																																																																				
plor	2	pleur	1	plor	1																																																																																																																						
