
Dissibilation du -r- 

Mot	Nombres d'occurrences total	Nombre d'occurrences
tret	3	
traioit	5	
trestrent	14	
trest	16	
Lemme : priiere	59	59
proiere	26	
proieres	33	
Lemme : prestre	85	85
pretres	1	
prestre	30	
prestres	54	
Lemme : croire	94	94
creanz	1	
creroies	1	
creües	1	
croirons	1	
croit	1	
creü	1	
croirai	1	
croiz	1	
creüssent	2	
crurent	2	
crui	2	
croira	3	
creez	4	
creoit	4	
croient	6	
creons	7	
creoient	8	
crut	10	
croi	13	
croire	25	
Lemme : frere	161	161
frere	78	
freres	83	
Lemme : prendre	214	214
prendent	1	
preïsmes	1	
prenderas	1	
prendroit	1	
prendrons	1	
prenderoit	1	
preïstes	1	
preerent	1	
preigniez	1	
preïs	1	
prengent	2	
prenoient	2	
prisses	2	
prendroient	2	
prenez	2	
preïssent	2	
prenge	2	
prendoit	2	
prenoit	2	
proit	2	
prises	2	
prise	3	
preïst	3	
prent	3	
prenderoient	4	
pren	4	
prendra	6	
pris	15	
prendre	26	
pristrent	31	
prist	87	

métathèse du groupe er/re 

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : trespercier	1	1
trespercerai	1	
Lemme : fermer	2	1
frema	1	
fermer	1	
Lemme : mercredi	3	3
miercredi	1	
mercredi	2	


Cas particulier des verbes au futur

Chute du l dans le groupe a + l + consonne

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : aucant	1	1
auqant	1	
Lemme : claudiomas	1	1
claudiomas	1	
Lemme : austriclinien	3	1
astricliniens	1	
austricliniens	2	
Lemme : autretant	1	1
autretant	1	
Lemme : assaut	1	1
assauz	1	
Lemme : albanie	2	2
albanies	2	
Lemme : autant	3	3
autant	3	
Lemme : fauçart	3	3
fauchart	3	
Lemme : sauvage	5	5
salvages	1	
sauvage	1	
sauvages	3	


l + yod à la final pic. l

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : vermeil1	1	1
vermeuz	1	
Lemme : estoupail	1	1
estoupaus	1	
Lemme : travail	17	2
travaus	2	
travail	15	
Lemme : soleil	10	3
soleuz	1	
solauz	2	
soleil	7	
Lemme : conseil	13	5
conseus	1	
consauz	1	
conselle	1	
conseuz	1	
consel	2	
conseil	7	
Lemme : corbeil	5	5
corbiaus	1	
corbeaus	4	
Lemme : ueil	26	11
uel	2	
oel	4	
euz	5	
iols	15	
Lemme : vieil	25	21
vius	1	
viels	1	
viez	3	
vielz	9	
viel	11	


§60  confusion n et n mouillé
gn, n

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : esloignier	5	2
eslongiés	1	
esloigniez	1	
esloingna	1	
esloignié	1	
eslongent	1	
Lemme : charlemagne	2	2
charlemeine	2	
Lemme : compagnon	61	10
conpaignons	1	
compagnons	1	
compains	2	
compeinz	3	
compeins	5	
compaignons	23	
compaignon	26	
Lemme : seignor	775	235
seigneur	1	
signeurs	1	
mesires	1	
seignors	2	
segnor	2	
signour	3	
signors	8	
signeur	13	
seignor	15	
monsignor	20	
messires	29	
sire	58	
monsigneur	71	
sires	147	
signor	404	

n, gn

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : ataindre	2	1
ataignoient	1	
ateins	1	
Lemme : avenir	172	1
avienent	1	
aviegnent	1	
avenoient	1	
avenus	1	
avenues	2	
avenissent	2	
avenuz	2	
avindrent	3	
avient	3	
avenoit	4	
avenue	4	
avenir	9	
avenu	12	
avint	127	
Lemme : reconoistre	10	1
reconois	1	
reconoissoies	1	
regnoissoient	1	
reconoistre	1	
reconurent	1	
reconut	5	
Lemme : contenir	1	1
contiegne	1	
Lemme : baraing	1	1
brahaigne	1	
Lemme : plegement	1	1
pleignement	1	
Lemme : retenir	25	1
retient	1	
retenuz	1	
retiegnent	1	
retenues	1	
retendroit	1	
retenist	1	
retint	2	
retenu	2	
retenoit	3	
retenir	12	
Lemme : oindre	6	1
oigniez	1	
oindre	1	
oinz	1	
oinst	3	
Lemme : prendre	214	1
prendent	1	
preïsmes	1	
prenderas	1	
prendroit	1	
prendrons	1	
prenderoit	1	
preïstes	1	
preerent	1	
preigniez	1	
preïs	1	
prengent	2	
prenoient	2	
prisses	2	
prendroient	2	
prenez	2	
preïssent	2	
prenge	2	
prendoit	2	
prenoit	2	
proit	2	
prises	2	
prise	3	
preïst	3	
prent	3	
prenderoient	4	
pren	4	
prendra	6	
pris	15	
prendre	26	
pristrent	31	
prist	87	
Lemme : ensivre1	27	1
ensivoient	1	
ensivir	1	
ensivissons	1	
ensivimes	1	
ensivissent	1	
ensivist	1	
ensivrre	1	
ensuire	1	
ensignoit	1	
ensivoit	1	
ensivroit	2	
ensivre	7	
ensivi	8	
Lemme : maintenir	15	1
meintenu	1	
meintenist	1	
meintient	1	
maintint	1	
meintenue	1	
meintenissent	1	
meintint	1	
meintiegne	1	
meintenoit	3	
meintenir	4	
Lemme : constreindre	8	1
constreinz	1	
constreinst	1	
constrains	1	
constreindre	1	
constrainz	1	
constreignoit	1	
constreint	2	
Lemme : sovenir	20	2
souvendroit	1	
souvint	1	
sovenir	2	
soviegne	2	
sovenoit	2	
sovient	5	
sovint	7	
Lemme : -	129	2
penitentiam	1	
agite	1	
apropinquabit	1	
enim	1	
celorum	1	
nisi	1	
quis	1	
renatus	1	
ex	1	
aqua	1	
intrare	1	
