
Groupe scy :  ss
rejehir	4	regehissoit	1	rejehisses	1	regehissoient	1	regehissons	1	
remanoir	1	remesse	1	
repaire	1	repairassent	1	
repentir	1	repentisses	1	
resplendir	8	resplendissoit	3	resplendissant	2	resplendissoient	1	resplendissanz	2	
revenir	1	revenissent	1	
savoir	9	seüssent	7	seüsse	1	seüssiez	1	
secorre1	1	secoreüsses	1	
seignor	29	messires	27	Messires	2	
servir	4	servissent	4	
sisiesme	2	sissieme	1	sissime	1	
sivre	2	sivissent	2	
sofire	2	sousfisse	1	soffisse	1	
sofrir	3	sousfrisse	1	soffrissent	2	
sëoir	1	seïssent	1	
taire	3	teüssent	2	taissiés	1	
tamise	1	Tamisse	1	
tenir1	1	tenissent	1	
tresporter	1	tresportassent	1	
trover	5	trovaissent	2	trovassent	2	trovaisse	1	
träison	5	traïsson	5	
vendre	1	vendissent	1	
venir	12	venisse	3	venissent	9	
vivre1	4	vesqissent	3	vesquissent	1	
voloir	3	vousisses	1	vousissent	2	
vëoir	9	veïssiez	6	veïsses	1	deïssent	1	veïssent	1	

§42 G+a lat. Et G + a,e,i germanique – conservation de la gutturale.
§42 g pic. vs j fr à l'initiale
jesir	64	gisoit	28	gesir	8	geta	1	geü	6	gisant	2	gist	7	gissant	1	gisoient	3	gis	1	
jeter	38	gieter	2	geter	3	getés	1	gieterent	2	geterent	4	gieta	2	getez	5	geta	7	getee	3	gietes	1	gieté	1	getetes	1	getees	2	gietast	1	geté	1	giete	1	getoient	1	
jëune	19	geunes	8	
jëuner	8	geuné	1	geuner	1	

§42 g pic. vs j fr à l'intérieur
enjoindre	2	enjoing	1	
rejehir	14	regehi	3	regehissoit	1	regehir	1	regehis	1	regehissoient	1	regehissons	1	regehirent	2	
rejeter	1	regieta	1	


§42 gu/gh pic. vs g à l'initiale 
gaire	5	guaires	1	gueres	4	
gaitier	8	guetoit	2	guetent	1	guetier	2	guaitoit	1	guetoient	1	guaitent	1	
garir	3	gueriz	1	guerissoit	1	guerir	1	
garison	4	guerissons	1	guerisson	1	guerison	2	
gaster	1	guasterent	1	
gerir	48	guerir	5	gueriz	30	guerissoient	5	guerie	4	gueresist	1	gueries	1	gueri	2	

§42 gu/gh pic. vs g à l'intérieur 
agait	2	aguaiz	1	aguet	1	
agaitier	3	aguetier	2	aguaitoit	1	
assëurer	1	assegure	1	
enorgoillir	2	orguelli	1	enorguellist	1	
igal	1	inguaus	1	
langage	5	languages	3	language	2	
langor	1	languer	1	
langoros	5	languereus	5	
lombart	3	Longuebarz	2	Longuebars	1	
lonc	12	longue	11	longues	1	
longement	20	longuement	19	Longuement	1	
mangier	3	mengue	2	menguce	1	
orgoillir	2	orguellesissent	1	orgueilli	1	
orgoillos	4	orgueilleus	1	orguilleus	3	
orgoillosement	1	orguelleusement	1	


§43 : le traitement de cw intervocalique, la graphie du terme eau.
aigue	55	eve	49	eaue	5	eves	1	


§46 : Les dentales : conservation d'un t final
Conservation d'un t final dans les ppe
avoir	1	eüt	1	
constreindre	1	constreint	1	
contredire	1	contredit	1	
covrir	1	covert	2	
descovrir	1	descovert	2	
destreindre	1	destreint	1	
destruire	1	destruit	3	
dire	1	dit	73	
enjoindre	1	enjoint	1	
escrire	1	escrit	3	
estruire1	1	estruit	1	
estruire2	1	estruit	1	
faire	1	fet	71	fait	43	
forfaire	1	forfait	1	fourfait	1	
laissier	1	let	1	
mesfaire	1	mesfeit	1	mesfet	1	meffet	1	
morir	1	mort	6	
oir	1	oït	1	
ovrir	1	overt	3	
poindre	1	point	1	
refaire1	1	refet	1	
repondre	1	repost	3	
sofrir	1	soffert	5	sosfert	1	
traire	1	tret	1	

Conservation d'un t final dans les autres mots
conte2	3	conte	2	conteret	1	
doi	5	doiz	2	doit	3	
morir	92	morz	40	morir	13	muert	2	morte	2	mort	8	moroit	1	morut	7	morust	1	mors	4	mortes	1	muerent	1	morras	2	morroit	1	morurent	2	morussent	1	moroient	4	muirons	1	muire	1	
pechié	31	pechiez	15	pechiés	5	pechié	10	pechiet	1	
prevoste	5	prevost	2	prevoz	3	
proprïeté	1	proprietet	1	
raplegier	1	raplegement	1	
tiran	1	tyrant	1	
volenté	75	volenté	61	volentez	9	volonté	3	volontés	1	volentet	1	


§49 confusion s et ss
Asie	4	Aise	3	Almasse	1	
Crescent	1	Cressencii	1	
Venice	2	Venice	1	Venisse	1	
bas	6	basse	2	bas	4	
buison	1	buisson	1	
covoitise	14	covoitisse	7	covoitise	5	couvoitisses	1	covoitises	1	
eglise	165	glisse	2	yglisse	1	eglisse	116	eglyse	6	eglisses	18	eglise	12	Eglisse	6	Glisse	1	eglyses	1	eglysse	2	
enchantëor	1	enchanteresses	1	
escïent	2	essient	1	essïent	1	
espès	4	espesses	1	espes	1	espés	2	
felon	14	felonnies	1	felon	3	felons	2	Felon	1	felonesche	1	fel	5	felenesse	1	
garantise	2	garantisse	1	garantise	1	
garison	8	guerissons	1	garisons	2	garisson	2	guerisson	1	guerison	2	
gros	3	gros	1	grosses	2	
guise	10	guisse	3	guise	7	
las	5	las	3	lasse	1	Lasse	1	
laschece	1	lassece	1	
lïon	32	lion	9	lionesse	3	lions	18	liens	2	
maison	108	meson	101	messon	3	mesons	4	
maisoncele	3	mesoncele	1	maisonceles	1	maissoncele	1	
orison	142	orissons	104	orisson	36	orisons	2	
prison	17	prison	7	prissons	1	prisson	6	prisons	3	
raison	21	reson	6	resons	7	raison	1	reison	2	reisons	1	raisson	3	ressons	1	
resplendir	12	resplendissoit	3	resplendissant	2	resplendissoient	1	resplendi	3	resplendissanz	2	resplendir	1	
seignor	775	messires	27	Seignor	15	Sires	134	Signor	383	Signeur	5	Seigneur	1	signeur	8	sires	13	seignors	2	Segnor	2	signor	21	sire	11	Sire	47	signors	8	signeurs	1	monsigneur	64	Messires	2	mesires	1	Monsigneur	7	Signour	3	monsignor	17	Monsignor	3	
sisiesme	4	sisimes	1	sisiesme	1	sissieme	1	sissime	1	
tamise	1	Tamisse	1	
träison	8	traïsson	5	traïson	3	


§50 s intérieur devant consonne entraine en r en pic?
Cyparissus	1	Quaparse	1	
arceveschié	2	arcevesqié	2	
arcevesque	37	arcevesqes	18	archevesqes	8	archevesque	1	archevesqe	1	arcevesqe	8	arcevesques	1	
desrubant	1	derrubans	1	
desver	33	dervez	9	dervé	5	
desverie	11	derverie	11	
esmerveillable	2	esmerveillables	1	esmerveillable	1	
estorbeillon	1	estorbellons	1	
marsdi	1	mardi	1	
paroisse	2	parroce	1	


Les liquides
§55 rl passe à ll assimilation

r parasite ?
Macaire	1	Machaires	1	
afaire1	6	aferes	1	
afaire2	16	afere	5	aferes	3	
afublëure	6	afubleüre	4	affubleüre	2	
aideor	3	aidieres	1	aidierres	2	
air2	1	eir	1	
aitre	2	atrie	2	
ajornee	1	ajorner	1	
alëure	4	aleüre	2	aleüres	2	
ame	45	arme	7	
amor	30	amour	2	
anacorite	6	anacorintes	3	enacorinthe	1	enacorinte	1	anacorinte	1	
aornement1	2	aornemenz	2	
apareillement	2	apareillemenz	1	
