o+l + consonne > pic.au $23
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : blecëure	3	3
bleceüre	2	
blecheüre	1	
Lemme : fublëure	3	3
asfubleüre	3	
Lemme : bonëuré	2	2
boneüré	1	
boneeüree	1	
Lemme : fermëure	1	1
fermeüre	1	
Lemme : enfleüre	1	1
enfleüre	1	
Lemme : uisseüre	1	1
huisseüres	1	
Lemme : conchiëure	1	1
conchieüre	1	
Lemme : assëur	1	1
asseür	1	
Lemme : lavëure	1	1
laveüres	1	


 oi > PIC. i §32,§33
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : saint	1753	48
seinz	807	
seint	721	
seinte	124	
seintes	28	
seintisme	22	
seintismes	17	
saint	13	
seins	11	
seintime	7	
seintimes	2	
sancto	1	
Lemme : chaitif	29	29
chetis	16	
chetif	8	
chetive	5	
Lemme : vilain	23	23
vilein	10	
vileins	7	
vileinz	4	
vileinement	1	
vileine	1	
Lemme : covoitise	14	14
covoitisse	7	
covoitise	5	
couvoitisses	1	
covoitises	1	
Lemme : solitaire	12	12
solitaire	11	
solitaires	1	
Lemme : oraison	15	12
orisons	8	
orison	4	
oroisons	2	
oroison	1	
Lemme : victoire	6	6
victoire	6	
Lemme : voisin	5	5
voisins	3	
voisin	1	
voisines	1	
Lemme : luminaire	4	4
luminaire	3	
lumineres	1	
Lemme : poitevin	3	3
poitevin	3	
Lemme : paisible	3	3
pesible	2	
paisible	1	
Lemme : desputaison	2	2
desputisons	2	
Lemme : gregoire	4	2
gregoires	2	
grigoire	1	
grigoires	1	
Lemme : livroison	1	1
livroisons	1	
Lemme : poitrine	1	1
poitrine	1	
Lemme : poissonel	1	1
pissonniaus	1	
Lemme : graignor	1	1
grignors	1	
Lemme : voisos	3	1
voiseus	2	
viseus	1	
Lemme : vicaire	1	1
vicaires	1	
Lemme : aquitaine	3	1
aquitaine	2	
aqitaine	1	
Lemme : baillif	1	1
baillis	1	
Lemme : sidoine	1	1
sidoine	1	


e protonique + l/n > i, ei §34
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : seignor	775	520
signor	404	
sires	147	
monsigneur	71	
sire	58	
messires	29	
monsignor	20	
seignor	15	
signeur	13	
signors	8	
signour	3	
seignors	2	
segnor	2	
seigneur	1	
signeurs	1	
mesires	1	
Lemme : enseignier	51	31
ensigniez	13	
ensignier	4	
ensignié	4	
ensigna	4	
ensignoit	3	
enseignast	3	
enseignié	2	
ensignast	2	
ensegnier	1	
ensegnast	1	
ensegnoie	1	
enseignent	1	
enseigna	1	
enseignoit	1	
enseignant	1	
enseigne	1	
enseignes	1	
enseigniez	1	
enseignierent	1	
ensegnoit	1	
ensegnerai	1	
enseignasces	1	
ensignai	1	
enseignie	1	
Lemme : seignorie	29	23
signorie	22	
seignorie	4	
segnorie	2	
signories	1	
Lemme : prinseignier	4	4
presigniez	1	
presignier	1	
prensignast	1	
prensigniez	1	
Lemme : merveillos	10	1
merveilleuse	5	
merveilleus	2	
merveilles	1	
mervilleuse	1	
mervelleuses	1	


o initial + n > a + n $36
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : comandement	49	49
comandement	14	
comandemenz	12	
conmandement	11	
conmandemenz	8	
coumandement	2	
coumandemenz	1	
conmandemens	1	
Lemme : amont	10	10
amont	10	
Lemme : comant	5	5
conmant	2	
conmanz	2	
comans	1	
Lemme : translacïon	5	5
translation	5	
Lemme : amonestement	4	4
amonestement	4	
Lemme : concordance	2	2
concordance	2	
Lemme : constantinople	4	2
costantinoble	2	
costentinoble	2	
Lemme : abondance	2	2
habundance	2	
Lemme : pannone	1	1
pannone	1	
Lemme : vangione	1	1
vangione	1	
Lemme : nonsavoir	1	1
nonsachanz	1	
Lemme : romanz	1	1
romanz	1	
Lemme : montance	1	1
montance	1	
Lemme : canon	1	1
canon	1	
Lemme : pannonie	1	1
pannonie	1	
Lemme : nonante	1	1
nonante	1	
Lemme : constance	1	1
costances	1	
Lemme : enfançon	1	1
enfançon	1	
Lemme : abondanment	1	1
habundanment	1	

Dissimilation de O $37
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : onor	39	39
oneur	22	
honeur	9	
honor	3	
onor	2	
ouneur	2	
honors	1	
Lemme : corrocier	26	26
corrociez	13	
corrocier	3	
corroces	2	
corrocié	2	
corroça	1	
corroce	1	
corrouçast	1	
corroceroit	1	
corrocierent	1	
corroçoit	1	
Lemme : escomeniier	16	16
escomenié	3	
escomeniiez	3	
escomeniez	2	
escomeniees	2	
escomeniee	1	
escoumenié	1	
escommeniee	1	
escumenierai	1	
escomenioit	1	
escomenieez	1	
Lemme : onorer	13	13
honorer	2	
honoroient	2	
honorez	2	
honora	2	
honeurent	2	
oneroient	1	
honorassent	1	
honoerrai	1	
Lemme : doloros	11	11
dolereuses	5	
dolereusement	3	
dolereus	2	
dolereuse	1	
Lemme : onorable	7	7
honorablement	4	
honorable	2	
onorable	1	
Lemme : honoré	2	2
honores	1	
honoires	1	

Dissimilation de i $37
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : visiter	22	22
visiter	15	
visitoient	3	
visitez	2	
visitast	1	
visité	1	
Lemme : glorefiier	9	9
gloirefierent	4	
gloirefiez	1	
gloirefier	1	
gloirefioit	1	
gloirefia	1	
gloirefierai	1	
Lemme : sicile	3	3
sulie	2	
sezile	1	
Lemme : philippe	3	3
phelippes	3	
Lemme : privilege	2	2
privilege	1	
previlege	1	
Lemme : senefiier	1	1
senefie	1	

étude graphique nient/noiant
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : nïent	42	42
noient	37	
nient	5	

Ouverture e en a suivi de r à l'initiale
Mot	Nombres d'occurrences total	Nombre d'occurrences

fermeture en e de a suivi de r à l'initiale
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : garison	8	4
garisons	2	
garisson	2	
guerison	2	
guerissons	1	
guerisson	1	
Lemme : larron	9	3
larron	4	
lerres	2	
larrons	2	
leres	1	
Lemme : garir	7	3
gariz	2	
garie	1	
gueriz	1	
guerissoit	1	
garir	1	
guerir	1	
Lemme : larme	4	3
lermes	3	
larmes	1	
Lemme : arrachier	3	3
errachoient	1	
errachié	1	
errachier	1	
Lemme : narbone	2	2
nerbone	2	
Lemme : armenie	3	1
hermenie	1	
armenee	1	
armenie	1	
Lemme : baraigneté	1	1
berhaigneté	1	
Lemme : farine	1	1
ferine	1	

y d’ornementation à valeur purement décorative à l'initiale
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : image	53	53
ymage	37	
ymages	16	
Lemme : idle	23	23
ydres	11	
ydre	9	
ydoles	1	
ydes	1	
ydole	1	
Lemme : iver2	3	2
yvier	1	
yver	1	
ivier	1	
Lemme : ides	2	2
ydes	2	
Lemme : eglise	165	1
eglisse	122	
eglisses	18	
eglise	12	
eglyse	6	
glisse	3	
eglysse	2	
yglisse	1	
eglyses	1	
Lemme : ine	2	1
ymnes	1	
hymnes	1	
Lemme : ipocrisie	1	1
ycrisie	1	
Lemme : hilaire	1	1
ylaire	1	

y d’ornementation à valeur purement décorative à l'intérieur
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : martir	18	16
martyr	9	
martyrs	7	
martir	2	
Lemme : eglise	165	9
eglisse	122	
eglisses	18	
eglise	12	
eglyse	6	
glisse	3	
eglysse	2	
yglisse	1	
eglyses	1	
Lemme : limoges	11	8
lymoges	8	
limoges	3	
Lemme : martire2	7	7
martyre	7	
Lemme : arcediacne	15	5
arcediacres	5	
arcediacre	3	
arcedyacre	3	
arcedyacres	2	
archediacre	1	
archediacres	1	
Lemme : dïacne	6	5
dyacres	5	
diacres	1	
Lemme : diane	4	4
dyane	4	
Lemme : sïon	4	4
syon	4	
Lemme : elisabeth	2	2
elyzabez	2	
Lemme : lepros	5	2
liepreus	3	
lyepreus	2	
Lemme : sinagogue	1	1
synagogues	1	
Lemme : tiran	1	1
tyrant	1	
Lemme : etiope	1	1
ethyopiens	1	
Lemme : dioscori	1	1
dyoscori	1	
Lemme : divers	23	1
diverses	16	
divers	5	
diverse	1	
dyverses	1	
Lemme : babilonie	2	1
babiloine	1	
babyloine	1	
Lemme : ine	2	1
ymnes	1	
hymnes	1	

y d’ornementation à valeur purement décorative en finale
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : loi3	31	28
loy	28	
lois	2	
loi	1	
Lemme : cest	427	1
ceste	206	
cest	117	
cez	46	
ces	35	
cis	11	
cestui	6	
cist	5	
cestuy	1	
Lemme : mai	2	1
mai	1	
may	1	

velarisation ein > oin 
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : peine	52	4
peines	20	
paine	10	
paines	10	
peine	7	
poines	4	
peinnes	1	

