Graphie du mot Dieu
Lemme : dieu	195
Deu	112
Dex	79
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	142
leu	95
leus	26
liu	13
lius	4
lieu	3
lieus	1

§10 Réduction de e ouvert libre en i
enseignier	51	ensegnier ensigniez enseignié ensegnast ensignier ensegnoie ensignié enseignent enseignoit ensignoit enseignant enseigne enseignes enseignast ensigna enseigna enseigniez enseignierent ensignast enseignie ensegnoit ensegnerai enseignasces ensignai 
entechier	1	entechiés 
entier	12	entiers entiere entierz entirement entierement entier 
entrelaissier	3	entrelessier entrelesserai 
envoiier	65	envoierent envoiast envoiez envoia envoie envooit envoié envoieroit envoies envoioit envoias envoieroient envoier envoioient envoiastes 
esbanoiier	3	esbanoier esbanoiant 
escomeniier	16	escomeniez escomenié escomeniiez escomeniee escoumenié escommeniee escumenierai escomeniees escomenioit escomenieez 
esforcier2	3	esforcierent efforcierent efforçoit 
eslaissier	2	esleeciez esleeçassent 
esloignier	5	eslongiés esloigniez eslongent esloingna esloignié 
eslëecier	18	esleecierent esleeçoient esleechier esleecie esleeçassent esleecier esleeçanz esleeciez esleeças esleecies esleece esleeçoit 
esmaiier	3	esmaie esmaiez esmaiés 
esmerveillier	30	esmervelloient esmervellier esmerveilliez esmerveillierent esmervellierent esmerveil esmerveillames esmerveilloie esmerveilles esmerveillions esmerveille esmerveilla esmervella esmerveilloient esmervelloit 
espargnier	2	espargnerai espargnoit 
esploitier	11	esploite esploita esploiter esploitier esploitié esploitierent esploitie 
esrachier2	1	esrachassent 
essaiier	4	essaioit essaiez essaié essaie 
essaucier	11	essauce essaucie essaucerai essaucier essauciez essauça 
esveillier	14	esveilla esveilliez esveillierent esveillier esvellastes revellierent esvellast esvella esvelliez 
fichier	1	fichiés 
flairier2	1	flairanz 
foie2	77	foies foiz foie feiz fois foïe 
forgier	1	formee 
froissier	3	froisça froischier froissiez 
gaitier	10	gaitoient guetoit guetent guetier guaitoit guetoient guaitent 
glorefiier	9	gloirefiez gloirefier gloirefioit gloirefia gloirefierai gloirefierent 
gracier	7	gracierent gracia 
graciier	5	gracier graciant gracia 
grief	15	griez griés grief Grief gries 
gäaignier1	3	gaaignier gaagnier gaaigna 
