a libre tonique  > ei §1			
Mot	Nombres d'occurrences total	Nombre d'occurrences	
Lemme : ainsi	166	16	
einsi	90		
einsint	59		
ensi	13		
ensint	3		
ainsi	1		
Lemme : oraison	15	15	
orisons	8		
orison	4		
oroisons	2		
oroison	1		
Lemme : raison	21	14	
resons	7		
reson	6		
raisson	3		
reison	2		
raison	1		
reisons	1		
ressons	1		
Lemme : mesfait	14	13	
mesfet	5		
meffet	4		
mesfez	3		
mesfait	1		
meffez	1		
Lemme : taire	21	13	
teurent	3		
tere	2		
teire	2		
teut	2		
taire	2		
teüssent	2		
teüt	2		
teümes	1		
taises	1		
teürent	1		
taissiés	1		
tairai	1		
teisanz	1		
Lemme : fait1	16	12	
fez	6		
fet	4		
fais	3		
fes	2		
feis	1		
Lemme : parfaire	15	10	
parfaite	3		
parfete	3		
parfez	3		
parfere	3		
parfaire	2		
parfirent	1		
Lemme : ja+mais1	10	10	
jamés	10		
Lemme : palais2	10	9	
palés	7		
palez	2		
palais	1		
Lemme : afaire2	16	8	
afere	5		
afaire	5		
afaires	3		
aferes	3		
Lemme : baisier	15	8	
baisier	3		
besier	3		
besa	2		
besié	1		
beisierent	1		
baisai	1		
besiez	1		
baisa	1		
besoit	1		
baisoit	1		
Lemme : ainçois	19	8	
einçois	9		
ançois	8		
einçoiz	1		
ainçois	1		
Lemme : retraire	18	7	
retreire	4		
retraire	3		
retraist	2		
retrete	2		
retrest	1		
retraite	1		
retreites	1		
retretes	1		
retrez	1		
retrestrent	1		
retrere	1		
Lemme : ochaison	7	7	
ochoison	7		
Lemme : abaissier	7	7	
abessie	3		
abesse	1		
abessa	1		
abessier	1		
abessoit	1		
Lemme : gaitier	10	6	
gaitoient	2		
guetoit	2		
guetier	2		
guetent	1		
guaitoit	1		
guetoient	1		
guaitent	1		
Lemme : çaienz	6	6	
ceenz	5		
ceens	1		
Lemme : apaisier	12	5	
apaisoit	2		
apesie	2		
apesies	1		
apeisie	1		
apaisie	1		
apeisier	1		
apaisast	1		
apaisa	1		
apesiez	1		
apesa	1		
Lemme : citëain	4	4	
citoien	4		
Lemme : mesfaire	5	4	
mesfeit	1		
mesfet	1		
mefface	1		
meffirent	1		
meffet	1		
Lemme : gaire	7	4	
gueres	4		
gaires	2		
guaires	1		
Lemme : hai!	4	4	
hé	4		
Lemme : sairement	4	4	
serement	3		
seremenz	1		
Lemme : atraire	6	4	
atrest	2		
atrai	1		
atreoient	1		
atrera	1		
atreioit	1		
Lemme : mauvaistié	3	3	
malvestié	2		
mauvestié	1		
Lemme : däerrain	16	3	
daerrein	7		
daerreine	2		
daerrenieres	1		
daerriene	1		
daerreinieres	1		
daerraines	1		
daerreines	1		
daerrenier	1		
daerrain	1		
Lemme : haitier	17	3	
heitiez	6		
heitié	3		
haitié	2		
haitiez	2		
hetiez	2		
hertie	1		
heitez	1		
Lemme : complaindre	9	3	
compleindre	4		
complegnoit	2		
compleinstrent	1		
compleignoient	1		
complegnoient	1		
Lemme : detraire	5	3	
detruist	1		
detraire	1		
detreire	1		
detrete	1		
detrest	1		
Lemme : eustaice	3	3	
eustaces	3		
Lemme : laienz	4	3	
leenz	3		
laienz	1		
Lemme : bataille	14	2	
bataille	9		
batailles	3		
batalle	2		
Lemme : desputaison	2	2	
desputisons	2		
Lemme : desfaire	2	2	
desfere	1		
desfez	1		
Lemme : agaitier	4	2	
aguetier	2		
agaitoit	1		
aguaitoit	1		
Lemme : entrelaissier	3	2	
entrelessier	2		
entrelesserai	1		
Lemme : delaissier	2	2	
delessoies	1		
delessoit	1		
Lemme : eslaissier	2	2	
esleeciez	1		
esleeçassent	1		
Lemme : travail	17	2	
travail	15		
travaus	2		
Lemme : seculaire	2	2	
seculers	1		
seculer	1		
Lemme : chaiere	2	2	
chaere	2		
Lemme : paisible	3	2	
pesible	2		
paisible	1		
Lemme : trait	3	2	
tret	2		
treit	1		
Lemme : amaigrir	3	2	
amaigrir	1		
amegrir	1		
amegrissoit	1		
Lemme : lait1	9	2	
laide	3		
lez	2		
laidement	1		
laides	1		
lai	1		
leide	1		
Lemme : sofraite	2	2	
sosfrete	1		
soffrete	1		
