C - Ch 
Ch 	1174
C 	6230

Graphie ch pour c
lemme : recevoir	ch: 1	c: 104
recheü	1	
recevera	1	
receüst	1	
recevez	1	
receüssent	1	
recevrai	1	
recevroient	1	
reçoive	1	
reçoivent	1	
reciurent	1	
receües	1	
receveroit	2	
recevoir	3	
recevoient	3	
reçurent	3	
receüz	6	
receü	18	
receüe	18	
reçoivre	19	
reçut	22	

lemme : ocire	ch: 1	c: 53
ochioit	1	
ocioit	1	
oceïssent	1	
oceïst	1	
oceïstes	1	
ocesist	1	
ocire	1	
ociroient	1	
ocirroient	1	
ociroit	1	
ocirroit	1	
ocistrent	2	
ocist	4	
ocis	11	
ocirre	26	

lemme : arcevesque	ch: 10	c: 27
archevesque	1	
archevesqe	1	
arcevesques	1	
archevesqes	8	
arcevesqe	8	
arcevesqes	18	

lemme : chacier	ch: 23	c: 23
chacierent	2	
chaçassent	2	
chaçoient	2	
chaças	2	
chaçoit	4	
chacié	6	
chaciez	6	
chacier	10	
chaça	12	

lemme : richece	ch: 20	c: 20
richece	2	
richeces	2	
richesce	14	
richesces	22	

lemme : eslëecier	ch: 1	c: 17
esleechier	1	
esleecie	1	
esleeçassent	1	
esleeçanz	1	
esleeciez	1	
esleeças	1	
esleecies	1	
esleece	1	
esleecierent	2	
esleeçoit	2	
esleeçoient	3	
esleecier	3	

lemme : noncier1	ch: 1	c: 16
noncha	1	
noncie	1	
noncié	1	
nonçoit	1	
noncier	2	
nonça	4	
noncierent	7	

lemme : depecier	ch: 5	c: 11
despechier	1	
depecheroit	1	
depecheroient	1	
despecié	1	
depeçassent	1	
depeçoient	1	
depecierent	1	
despeça	1	
depechier	2	
depecier	6	

lemme : arcediacne	ch: 2	c: 13
archediacre	1	
archediacres	1	
arcedyacres	2	
arcediacre	3	
arcedyacre	3	
arcediacres	5	

lemme : ça	ch: 3	c: 8
cha	3	
ça	8	

lemme : lëece	ch: 7	c: 3
leeche	1	
leesce	3	
leesche	6	

lemme : cerchier	ch: 5	c: 4
chercha	1	
cerchassent	2	
cercherent	2	
cerchier	2	
cercha	2	

lemme : tencier	ch: 1	c: 4
tenchier	1	
tencier	1	
tencent	1	
tencierent	2	

lemme : porchacier	ch: 4	c: 4
porchaceroient	2	
porchaçasses	2	
porchaça	4	

lemme : blecëure	ch: 1	c: 2
blecheüre	1	
bleceüre	2	

lemme : chaucemente	ch: 3	c: 3
chaucemente	6	

lemme : carthage	ch: 1	c: 2
chartage	1	
cartage	2	

lemme : ceinture	ch: 2	c: 1
ceinture	1	
cheinture	2	

lemme : fauçart	ch: 3	c: 0
fauchart	3	

lemme : ceindre	ch: 1	c: 1
chainte	1	
ceinstrent	1	

lemme : caton	ch: 2	c: 0
chatons	2	

lemme : franc1	ch: 1	c: 0
franchement	1	

lemme : chaucier1	ch: 2	c: 2
chauciez	4	

lemme : carïole	ch: 1	c: 0
chariole	1	

lemme : enchaucier	ch: 1	c: 1
enchaucié	2	

lemme : encerchier	ch: 1	c: 0
encherchast	1	

lemme : deschaucier	ch: 1	c: 1
deschauça	2	

lemme : chaucine	ch: 1	c: 1
chaucine	2	

lemme : macaire	ch: 1	c: 0
machaires	1	

lemme : chevance	ch: 1	c: 1
chevance	2	


Graphie c pour ch
lemme : chascun	ch: 59	c: 3
cascuns	1	
cascun	2	
chascune	4	
chascuns	14	
chascun	41	

lemme : couchier	ch: 39	c: 5
couchié	1	
acouchie	1	
couchast	1	
couça	1	
couce	1	
couchierent	3	
couchier	3	
coucierent	3	
couchiez	5	
coucha	25	

lemme : prëechier	ch: 24	c: 5
preescha	1	
preeschant	1	
preechierent	1	
preesche	1	
preeche	1	
presçoie	1	
preecant	1	
preesce	1	
preeçoient	1	
