;C1;C2;C3;D;E2;F2;G1;M1;N1
155;1;1;1;1;1;NA;1;2;1
156;1;1;1;1;1;0;1;1;1
157;1;1;2;1;2;2;1;1;1
158;1;1;1;1;1;0;1;1;1
159;1;1;1;1;1;NA;1;2;1
160;1;1;1;1;2;2;2;2;2
161;1;1;1;1;1;1;2;2;2
162;1;1;1;1;1;1;0;1;1
163;1;1;1;1;1;1;1;2;1
164;1;1;1;1;1;0;1;NA;1
165;1;1;1;1;1;2;1;3;1
166;1;1;1;1;1;1;2;1;1
167;1;1;1;1;1;2;NA;1;1
168;1;1;1;1;1;1;2;1;0
169;1;1;1;1;1;0;1;1;1
170;1;1;1;1;1;2;1;1;1
171;1;1;1;1;1;NA;0;1;3
172;1;1;1;1;1;NA;2;1;1
173;1;1;1;1;1;2;1;1;1
174;1;1;1;2;2;0;2;1;1
175;1;1;1;1;1;1;2;1;1
176;1;1;1;1;1;0;1;1;3
177;1;1;1;1;1;0;1;3;3
178;1;1;1;1;1;1;0;0;0
179;1;1;1;1;2;1;NA;NA;NA
180;1;1;1;0;1;1;1;1;1
181;1;1;1;1;1;1;2;3;4
182;1;1;1;1;1;1;2;1;3
183;1;1;1;2;3;0;2;1;1
184;1;1;1;1;1;1;1;1;2
185;1;1;1;1;1;1;1;1;2
186;1;1;1;1;1;0;1;1;1
187;1;1;1;1;1;NA;1;0;1
188;1;1;1;1;1;2;2;1;1
189;1;1;1;1;1;0;1;1;1
190;1;1;1;1;1;1;1;0;1
191;1;1;1;1;1;1;0;1;1
192;1;1;1;1;1;1;2;3;4
193;1;1;1;2;1;1;2;1;1
194;1;1;1;1;1;1;1;2;2
195;1;1;1;1;1;1;2;1;1
196;1;1;1;1;2;0;0;2;2
197;1;1;1;1;1;2;1;1;1
198;1;1;1;1;1;NA;2;2;1
199;1;2;1;1;1;1;1;1;1
200;1;NA;1;1;1;1;2;3;3
201;1;1;1;1;1;1;2;1;1
202;1;1;1;1;1;1;2;1;1
203;1;1;1;1;1;2;1;3;3
204;1;1;1;1;1;2;1;2;2
205;1;1;1;1;1;1;1;1;2
206;1;1;1;1;1;0;1;1;1
207;1;1;1;1;0;NA;1;1;1
208;1;1;1;1;1;1;2;1;1
209;1;1;1;1;1;2;NA;1;1
210;1;1;1;1;1;2;NA;1;1
211;1;1;1;1;1;1;2;1;1
212;1;1;1;1;1;1;0;0;0
213;1;1;1;1;1;1;2;1;1
214;1;1;1;1;1;0;NA;1;1
215;1;1;1;1;1;NA;NA;2;2
216;1;0;1;0;0;0;0;0;0
217;1;1;1;2;2;2;1;1;1
218;1;1;1;1;1;1;2;1;1
219;1;1;1;1;1;1;2;3;1
220;1;1;1;1;2;1;3;4;4
221;1;1;1;1;1;1;1;2;1
222;1;1;1;1;0;1;1;1;1
223;1;1;1;1;2;1;1;1;1
224;1;1;1;1;1;1;2;3;1
225;1;1;1;1;1;0;1;1;1
226;1;1;1;1;1;1;0;0;1
227;1;1;1;1;1;0;1;1;1
228;1;1;1;1;1;2;1;1;1
229;1;1;1;1;1;1;2;1;1
230;1;1;1;1;1;1;1;1;2
231;1;1;1;1;1;1;1;1;0
232;1;1;1;1;1;1;1;2;2
233;1;1;1;1;1;1;2;1;1
234;1;1;1;1;1;1;1;1;2
235;1;1;1;1;1;2;1;1;1
236;1;1;1;1;1;NA;1;2;2
