;F2;G1;M1;N1
1332;1;2;1;1
1333;1;2;1;1
1334;1;2;2;2
1335;2;1;1;1
1336;0;1;1;1
1337;1;2;3;3
1338;1;2;3;3
1339;1;2;1;1
1340;0;NA;1;1
1341;1;NA;2;2
1342;0;1;1;1
1343;1;2;2;2
1344;0;1;1;1
1345;0;1;1;1
1346;NA;2;1;1
1347;1;1;2;2
1348;1;1;2;1
1349;0;1;NA;1
1350;1;1;2;2
1351;1;3;0;0
1352;1;0;1;1
1353;0;1;1;1
1354;1;0;0;0
1355;1;1;2;2
1356;1;2;1;1
1357;0;NA;1;1
1358;1;2;1;1
1359;0;NA;1;1
1360;0;1;1;1
1361;1;1;0;1
1362;1;1;2;2
1363;1;2;1;1
1364;1;2;3;4
1365;1;2;2;2
1366;1;1;1;2
1367;2;2;1;1
1368;2;1;1;1
1369;0;1;1;1
1370;NA;1;1;2
1371;2;1;1;2
1372;1;0;0;0
1373;1;2;1;1
1374;1;2;1;1
1375;0;1;1;1
1376;0;1;1;1
1377;1;2;1;1
1378;1;1;0;1
1379;1;1;2;2
1380;2;2;1;1
1381;0;1;1;1
1382;0;1;1;1
1383;NA;1;2;1
1384;1;1;2;1
1385;0;1;1;1
1386;0;1;1;1
1387;2;1;1;1
1388;0;1;1;1
1389;2;1;1;1
1390;0;1;1;0
1391;1;0;0;0
1392;1;2;2;2
1393;1;2;3;2
1394;1;0;0;0
1395;1;2;1;1
1396;1;2;1;1
1397;1;0;0;1
1398;1;1;2;1
1399;1;0;1;1
1400;1;2;1;1
1401;1;2;1;1
1402;1;2;1;1
1403;1;2;2;3
1404;0;1;1;1
1405;1;1;1;2
1406;1;2;1;1
1407;1;1;2;1
1408;1;1;2;1
1409;1;2;2;2
1410;1;0;1;1
1411;1;2;1;1
1412;0;NA;1;1
1413;1;2;1;1
1414;1;1;1;2
1415;0;1;1;1
1416;NA;2;1;1
1417;NA;1;1;2
1418;NA;0;1;1
1419;NA;1;1;2
1420;0;1;1;1
1421;1;2;1;1
1422;1;1;1;2
1423;0;1;1;1
1424;NA;1;2;2
1425;0;1;1;1
1426;NA;1;2;2
1427;NA;1;2;1
1428;2;1;1;1
1429;2;1;1;1
1430;0;1;1;1
1431;1;0;0;0
1432;1;2;1;1
1433;0;3;1;1
1434;0;1;1;1
1435;1;0;1;1
1436;2;1;1;1
1437;1;1;1;0
1438;1;2;1;3
1439;0;1;1;1
1440;1;2;2;2
1441;2;3;1;1
1442;0;1;1;1
1443;1;0;0;0
1444;1;2;2;2
1445;0;1;1;1
1446;NA;2;1;1
1447;NA;1;1;2
1448;1;1;1;0
1449;1;1;1;0
1450;1;2;2;2
1451;1;2;1;2
1452;0;0;1;0
1453;1;1;2;1
1454;2;3;1;1
1455;1;2;1;1
1456;0;1;1;1
1457;1;2;0;0
1458;1;0;0;0
1459;1;2;1;1
1460;2;1;1;1
1461;2;2;2;1
1462;0;1;1;1
1463;0;1;1;1
1464;2;3;1;1
1465;2;1;1;1
1466;1;2;1;1
1467;1;2;2;2
1468;0;1;1;1
1469;1;1;0;1
1470;1;2;1;1
1471;1;1;2;2
1472;2;1;1;1
1473;0;1;1;1
1474;1;2;1;1
1475;0;NA;1;1
1476;1;0;0;0
1477;1;1;2;3
1478;1;1;0;1
1479;1;2;2;2
1480;1;1;1;0
1481;1;2;1;1
1482;1;2;1;1
1483;1;1;1;0
1484;1;2;2;2
1485;1;0;0;1
1486;1;1;2;1
1487;1;1;1;0
1488;0;1;1;1
1489;NA;2;3;1
1490;0;1;1;1
1491;1;2;2;2
1492;1;0;0;0
1493;1;0;1;1
1494;3;1;2;2
1495;1;1;2;2
1496;0;1;1;1
1497;1;2;1;1
1498;0;1;1;1
1499;2;1;1;1
1500;0;1;1;1
1501;1;1;2;2
1502;0;1;1;1
1503;1;2;1;1
1504;1;1;1;2
1505;0;1;1;1
1506;1;2;2;2
1507;1;1;2;2
1508;1;2;1;1
1509;0;1;1;1
1510;1;2;3;2
1511;2;2;1;3
1512;0;1;1;1
1513;NA;1;0;0
1514;1;0;1;0
1515;1;2;1;1
1516;1;1;1;0
1517;1;2;1;1
1518;1;NA;1;0
1519;1;2;1;1
1520;2;1;1;1
1521;0;1;1;1
1522;NA;2;1;1
1523;NA;2;1;1
1524;2;1;2;1
1525;NA;2;NA;1
1526;1;1;1;0
1527;1;2;1;1
1528;1;1;2;2
1529;1;2;1;1
1530;1;NA;0;0
1531;1;1;2;1
1532;1;2;2;3
1533;1;1;0;1
1534;1;0;0;0
1535;1;2;2;2
1536;1;2;2;2
1537;1;2;1;1
1538;1;2;1;1
1539;1;1;2;2
1540;1;0;1;1
1541;2;1;1;1
1542;NA;2;1;1
1543;0;1;1;1
1544;NA;2;1;1
1545;0;1;1;1
1546;1;1;2;2
1547;0;1;1;1
1548;0;1;1;1
1549;NA;2;1;1
1550;NA;1;1;0
1551;NA;1;1;2
1552;NA;2;1;1
1553;1;1;2;1
1554;1;1;2;1
1555;1;1;1;2
1556;1;2;1;1
1557;0;1;1;1
1558;1;0;1;0
1559;1;2;1;1
1560;0;1;1;1
1561;NA;2;2;1
1562;NA;0;1;1
1563;1;1;1;2
1564;1;1;1;2
1565;1;2;2;2
1566;1;1;1;2
1567;1;2;2;2
1568;0;0;1;1
1569;1;2;2;2
1570;1;2;2;2
1571;1;1;1;2
1572;1;2;1;1
1573;0;1;1;1
1574;1;2;1;1
1575;1;1;2;1
1576;1;1;1;2
1577;0;1;1;1
1578;1;1;2;1
1579;1;2;1;1
1580;1;1;0;0
1581;1;1;1;2
1582;1;0;1;1
1583;1;0;3;3
1584;1;1;1;2
1585;1;0;0;0
1586;0;1;1;1
1587;1;0;0;0
1588;1;0;0;1
1589;1;1;1;2
1590;1;2;1;1
1591;1;1;2;1
1592;0;1;1;1
1593;NA;0;1;1
1594;NA;1;1;2
1595;1;2;3;4
1596;2;2;1;1
1597;0;1;1;1
1598;2;3;1;1
1599;1;1;1;0
1600;0;1;1;1
1601;NA;1;0;0
1602;NA;1;1;0
1603;2;3;1;4
1604;1;2;1;1
1605;1;2;1;1
1606;2;1;1;1
1607;1;2;1;1
1608;1;NA;1;2
1609;2;NA;1;1
1610;0;NA;1;1
1611;1;1;2;2
1612;1;0;0;1
1613;2;1;1;1
1614;1;1;1;0
1615;1;1;1;2
1616;0;1;1;NA
1617;1;2;2;2
1618;0;1;1;1
1619;2;1;2;2
1620;1;2;2;2
1621;1;1;2;3
1622;1;1;2;1
1623;1;1;2;2
1624;0;1;1;1
1625;NA;1;0;0
1626;1;1;2;2
1627;1;1;1;2
1628;1;1;1;0
1629;1;2;1;1
1630;1;2;1;1
1631;1;0;1;1
1632;1;2;1;1
1633;1;1;0;0
1634;1;0;1;1
1635;1;NA;2;2
1636;1;NA;2;2
1637;1;2;3;3
1638;1;2;2;2
1639;1;0;1;1
1640;1;1;2;3
1641;0;0;1;1
1642;1;2;1;3
1643;1;2;1;1
1644;1;1;2;2
1645;1;0;1;1
1646;1;2;1;1
1647;1;1;2;2
1648;1;2;NA;NA
1649;1;1;0;1
1650;1;0;1;1
1651;1;2;3;4
1652;1;0;1;1
1653;1;2;1;1
1654;1;2;1;1
1655;2;1;1;1
1656;1;0;1;1
1657;0;3;1;1
1658;1;2;1;1
1659;2;1;1;1
1660;1;1;2;3
1661;1;2;NA;NA
1662;0;1;1;1
1663;NA;0;1;1
1664;1;0;1;1
1665;0;0;0;1
1666;0;1;0;1
1667;1;1;2;1
1668;0;1;1;0
1669;0;1;1;1
1670;2;1;1;1
1671;0;1;1;1
1672;NA;1;1;0
1673;1;1;1;2
1674;0;1;1;1
1675;1;1;2;2
1676;2;3;1;1
1677;1;1;1;0
1678;1;2;1;1
1679;1;1;2;3
1680;1;0;1;1
1681;1;2;1;1
1682;1;NA;1;0
1683;1;NA;1;2
1684;0;NA;1;1
1685;1;NA;2;2
1686;1;2;2;2
1687;1;1;2;2
1688;0;0;1;1
1689;1;1;1;2
1690;1;0;0;0
1691;0;1;1;1
1692;1;1;1;0
1693;2;2;1;1
1694;2;1;1;1
1695;0;1;1;1
1696;2;3;1;1
1697;1;2;2;2
1698;1;2;1;1
1699;1;0;1;1
1700;0;1;1;1
1701;NA;0;1;1
1702;0;1;1;1
1703;NA;2;1;1
1704;NA;1;2;2
1705;0;1;1;1
1706;1;1;1;0
1707;1;0;1;1
1708;1;2;1;1
1709;0;1;1;0
1710;0;0;1;1
1711;0;1;1;1
1712;1;2;1;1
1713;1;NA;1;2
1714;0;NA;1;1
1715;1;0;1;1
1716;0;1;1;1
1717;1;0;1;1
1718;1;0;1;1
1719;1;2;3;4
1720;2;3;1;1
1721;1;2;1;1
1722;1;2;3;2
1723;0;1;1;1
1724;0;1;1;0
1725;2;1;1;1
1726;1;1;1;2
1727;1;2;2;2
1728;1;0;1;1
1729;1;2;1;1
1730;1;1;1;2
1731;0;1;1;1
1732;1;2;3;3
1733;1;0;0;0
1734;0;1;1;1
1735;1;2;2;3
1736;1;2;1;1
1737;1;0;1;1
1738;0;1;1;1
1739;1;2;3;3
1740;1;1;2;1
1741;1;1;NA;2
1742;1;2;NA;1
1743;1;1;NA;0
1744;1;1;1;2
1745;1;1;1;0
1746;1;1;1;2
1747;1;1;2;2
1748;1;1;2;3
1749;1;2;1;1
1750;1;2;2;2
1751;1;0;1;1
1752;1;1;2;2
1753;1;2;1;1
1754;1;0;1;1
1755;1;NA;2;2
1756;1;2;1;1
1757;1;0;1;1
1758;1;0;0;0
1759;1;2;2;2
1760;1;1;1;2
1761;1;2;2;2
1762;1;2;2;3
1763;1;2;3;3
1764;1;1;0;0
1765;1;0;3;4
1766;1;2;2;3
1767;1;2;1;1
1768;1;2;1;1
1769;1;2;3;4
1770;1;2;2;2
1771;1;2;1;1
1772;1;NA;1;2
1773;1;1;1;2
1774;1;1;1;2
1775;1;2;1;1
1776;1;2;3;4
1777;3;1;1;2
1778;1;2;1;1
1779;1;NA;2;0
1780;1;NA;2;1
1781;1;2;2;3
1782;1;2;2;1
1783;2;1;1;1
1784;1;0;1;1
1785;1;2;3;4
1786;1;0;0;0
1787;1;2;3;4
1788;0;0;1;1
1789;0;1;0;0
1790;0;1;1;1
1791;2;1;1;1
1792;0;1;1;1
1793;0;1;1;1
1794;NA;1;1;2
1795;1;2;1;2
1796;2;1;1;1
1797;0;1;1;1
1798;NA;1;1;2
1799;NA;2;1;3
1800;NA;2;1;0
1801;NA;1;2;1
1802;1;0;1;1
1803;1;1;2;2
1804;2;1;1;1
1805;0;1;1;1
1806;1;2;1;1
1807;0;1;1;1
1808;2;1;1;1
1809;0;1;1;1
1810;1;1;1;0
1811;0;1;1;1
1812;1;1;2;2
1813;2;1;1;3
1814;1;2;3;3
1815;2;1;1;1
1816;1;2;2;2
1817;1;2;1;1
1818;1;2;3;3
1819;2;1;1;1
1820;NA;1;1;0
1821;NA;2;3;1
1822;0;1;1;1
1823;NA;0;1;1
1824;NA;NA;1;0
1825;NA;2;1;2
1826;NA;1;2;2
1827;NA;3;1;2
1828;NA;0;1;1
1829;1;1;1;2
1830;2;1;1;NA
1831;0;0;1;1
1832;0;NA;1;0
1833;1;2;1;1
1834;1;NA;1;2
1835;1;NA;1;2
1836;1;2;1;1
1837;0;1;1;1
1838;1;0;1;1
1839;0;0;1;1
1840;0;1;1;1
1841;NA;0;1;1
1842;2;1;1;1
1843;1;1;2;2
1844;1;1;0;0
1845;0;1;1;1
1846;1;2;2;2
1847;0;1;1;1
1848;NA;2;1;1
1849;2;1;1;1
1850;0;1;1;1
1851;0;1;1;1
1852;1;1;2;2
1853;1;2;1;2
1854;0;1;1;1
1855;1;2;1;1
1856;1;2;1;1
1857;2;NA;1;3
1858;0;0;1;1
1859;1;2;1;1
1860;0;NA;1;1
1861;1;2;3;2
1862;1;1;2;3
1863;0;1;NA;NA
1864;1;2;2;1
1865;1;0;0;0
1866;1;1;2;3
1867;1;1;2;2
1868;1;1;1;2
1869;0;1;1;1
1870;NA;1;1;2
1871;NA;1;0;0
1872;1;0;1;1
1873;2;1;1;1
1874;NA;1;2;2
1875;2;1;1;1
1876;1;2;2;2
1877;0;1;1;1
1878;1;2;2;2
1879;1;2;1;1
1880;1;1;1;2
1881;1;1;1;0
1882;1;0;1;1
1883;2;3;1;1
1884;0;0;1;1
1885;1;1;2;2
1886;2;1;1;2
1887;2;1;1;1
1888;0;1;1;1
1889;1;2;1;1
1890;1;2;1;1
1891;2;NA;1;1
1892;0;1;1;1
1893;2;1;1;1
1894;NA;1;2;2
1895;0;1;1;1
1896;0;1;1;1
1897;NA;1;1;2
1898;NA;1;2;1
1899;NA;2;NA;1
1900;NA;1;NA;0
1901;NA;1;1;2
1902;2;1;1;1
1903;1;2;2;2
1904;1;1;1;2
1905;1;2;3;4
1906;1;2;2;2
1907;0;1;1;1
1908;NA;1;0;0
1909;1;2;1;1
1910;1;NA;1;2
1911;1;2;1;2
1912;1;2;1;2
1913;1;2;1;2
1914;0;1;1;1
1915;NA;2;1;1
1916;1;1;1;2
1917;1;2;2;2
1918;1;1;1;2
1919;1;1;1;2
1920;1;2;1;1
1921;1;1;1;0
1922;1;0;1;3
1923;1;2;2;2
1924;1;2;2;2
1925;1;0;1;1
1926;1;0;0;0
1927;1;2;3;3
1928;1;2;2;3
1929;2;1;1;1
1930;1;1;2;2
1931;2;1;1;1
1932;1;2;1;1
1933;0;1;1;1
1934;1;2;2;2
1935;1;2;1;1
1936;2;1;1;1
1937;0;1;0;0
1938;1;2;3;4
1939;1;0;1;0
1940;1;1;2;1
1941;0;0;1;1
1942;1;1;0;0
1943;0;1;1;1
1944;NA;2;1;1
1945;1;2;1;1
1946;0;1;1;1
1947;1;2;3;3
1948;1;1;1;0
1949;1;1;2;NA
1950;1;2;1;1
1951;0;1;1;1
1952;1;2;1;1
1953;0;1;1;1
1954;NA;0;1;1
1955;NA;2;1;1
1956;1;2;1;1
1957;2;1;1;1
1958;1;1;2;2
1959;2;1;1;1
1960;1;2;2;1
1961;2;1;1;1
1962;1;0;1;1
1963;0;1;1;1
1964;1;2;1;1
1965;0;1;1;1
1966;NA;1;1;2
1967;2;2;1;1
1968;1;0;1;1
1969;1;1;2;2
1970;1;2;1;1
1971;1;0;3;4
1972;1;1;1;2
1973;1;1;1;2
1974;1;0;1;0
1975;1;0;1;1
1976;1;NA;1;2
1977;3;1;2;2
1978;1;1;2;3
1979;1;2;1;1
1980;0;1;1;1
1981;1;2;1;1
1982;1;NA;1;2
1983;0;0;1;0
1984;1;2;1;1
1985;0;1;1;1
1986;2;1;1;1
1987;1;2;1;1
1988;1;2;1;1
1989;1;2;1;1
1990;0;1;1;1
1991;1;0;1;1
1992;1;2;2;3
1993;1;1;0;0
1994;1;0;1;1
1995;1;1;1;2
1996;0;1;1;1
1997;1;2;1;1
1998;0;0;1;1
1999;0;3;1;1
2000;0;1;1;1
2001;NA;1;0;0
2002;NA;0;1;1
2003;1;0;0;0
2004;1;2;2;1
2005;0;0;1;1
2006;1;2;1;1
2007;0;NA;1;1
2008;1;2;1;1
2009;1;1;1;2
2010;1;2;1;1
2011;2;1;1;1
2012;1;2;1;1
2013;2;NA;1;1
2014;1;1;1;0
2015;1;0;1;1
2016;0;1;1;1
2017;NA;2;1;1
2018;1;1;1;0
2019;1;1;1;2
2020;1;2;1;1
2021;0;0;1;3
2022;1;2;1;2
2023;0;1;1;1
2024;1;2;2;2
2025;2;3;1;1
2026;1;1;2;1
2027;1;0;1;1
2028;0;1;0;1
2029;0;1;1;1
2030;NA;1;2;1
2031;2;1;1;3
2032;1;1;1;0
2033;0;1;1;1
2034;1;0;1;1
2035;1;1;2;1
2036;1;2;2;2
2037;1;1;2;3
2038;0;3;1;1
2039;1;2;1;1
2040;1;2;2;2
2041;1;2;3;4
2042;2;1;1;1
2043;1;1;2;2
2044;1;2;1;1
2045;1;1;1;2
2046;1;1;1;2
2047;1;1;1;0
2048;1;2;1;1
2049;0;1;1;1
2050;1;1;3;2
2051;1;2;1;1
2052;1;1;2;2
2053;2;3;1;1
2054;1;2;1;1
2055;0;0;1;1
2056;2;2;1;1
2057;1;1;2;2
2058;2;1;1;1
2059;1;1;1;2
2060;0;1;1;NA
2061;2;1;1;1
2062;0;1;1;1
2063;NA;0;0;1
2064;NA;1;1;0
2065;2;1;1;1
2066;0;1;1;1
2067;NA;2;1;1
2068;NA;2;1;1
2069;NA;1;2;1
2070;1;2;1;1
2071;1;1;2;1
2072;1;2;1;1
2073;1;2;1;1
2074;2;1;1;1
2075;1;1;1;0
2076;0;1;1;1
2077;1;2;1;3
2078;2;2;1;1
2079;2;1;1;1
2080;NA;1;1;0
2081;0;0;1;1
2082;1;2;1;1
2083;1;0;0;0
2084;1;1;0;1
2085;0;1;1;1
2086;1;1;1;2
2087;2;1;1;1
2088;0;0;1;1
2089;0;1;1;1
2090;1;2;1;1
2091;0;NA;1;1
2092;NA;NA;1;0
2093;0;1;1;1
2094;2;1;2;2
2095;1;2;1;1
2096;2;1;1;1
2097;2;3;1;1
2098;0;0;1;1
2099;1;1;1;0
2100;1;1;1;0
2101;1;2;1;1
2102;1;2;1;1
2103;0;NA;1;1
2104;1;1;1;0
2105;0;1;1;NA
2106;1;2;1;1
2107;1;2;1;1
2108;1;1;1;2
2109;1;2;1;1
2110;2;2;1;1
2111;0;0;1;1
2112;1;2;1;1
2113;1;2;1;1
2114;1;1;1;0
2115;1;0;1;0
2116;2;2;1;1
2117;1;2;1;1
2118;1;NA;2;1
2119;2;NA;1;1
2120;1;2;3;3
2121;0;1;1;1
2122;NA;0;1;1
2123;2;3;1;1
2124;1;1;1;2
2125;0;1;1;1
2126;NA;1;0;0
2127;NA;0;1;1
2128;NA;1;1;2
2129;NA;1;2;2
2130;0;1;1;1
2131;NA;2;1;1
2132;NA;2;1;2
2133;NA;2;1;1
2134;NA;2;1;1
2135;NA;2;1;0
2136;NA;2;1;1
2137;NA;1;2;1
2138;NA;1;0;0
2139;NA;1;1;2
2140;NA;1;2;2
2141;NA;1;2;1
2142;NA;1;2;1
2143;NA;2;1;1
2144;NA;2;1;1
2145;NA;1;2;1
2146;NA;1;0;1
2147;NA;0;1;1
2148;NA;NA;2;1
2149;NA;NA;1;2
2150;NA;NA;2;1
2151;NA;0;1;1
2152;NA;2;1;1
2153;2;3;1;1
2154;0;1;1;1
2155;1;0;1;1
2156;1;2;1;1
2157;0;1;1;1
2158;NA;1;2;2
2159;1;1;1;2
2160;1;2;2;2
2161;0;1;1;1
2162;NA;2;1;1
2163;NA;2;1;1
2164;NA;2;1;1
2165;NA;NA;2;1
2166;NA;2;1;1
2167;NA;2;1;1
2168;NA;2;1;0
2169;1;2;1;1
2170;0;1;1;1
2171;0;1;1;1
2172;NA;2;1;1
2173;NA;2;2;1
2174;1;0;1;1
2175;2;2;1;1
2176;2;1;1;1
2177;NA;0;1;1
2178;2;1;1;1
2179;2;1;1;3
2180;1;2;1;3
2181;0;1;1;1
2182;NA;2;1;1
2183;NA;2;1;1
2184;1;2;1;1
2185;2;NA;1;1
2186;2;1;1;1
2187;0;0;1;1
2188;2;3;1;1
2189;1;2;1;1
2190;1;2;1;1
2191;1;0;0;0
2192;1;1;1;2
2193;1;2;1;1
2194;1;0;1;3
2195;2;1;1;1
2196;1;0;1;1
2197;0;1;1;1
2198;NA;0;1;1
2199;2;1;1;1
2200;2;1;1;1
2201;NA;1;1;0
2202;2;1;1;1
2203;NA;2;1;1
2204;1;2;3;3
2205;1;2;3;3
2206;0;1;1;1
2207;NA;1;2;1
2208;NA;1;2;2
2209;1;1;2;2
2210;0;1;1;3
2211;2;1;1;1
2212;1;1;0;1
2213;1;2;2;1
2214;0;1;1;1
2215;1;2;1;1
2216;1;2;1;1
2217;0;1;1;1
2218;1;2;1;1
2219;0;1;1;1
2220;NA;2;2;1
2221;1;2;1;1
2222;1;1;1;2
2223;1;2;3;3
2224;1;1;0;0
2225;1;2;1;1
2226;0;0;1;1
2227;1;1;2;3
2228;2;1;1;1
2229;2;1;1;1
2230;0;1;1;1
2231;0;1;1;1
2232;0;1;1;1
2233;2;3;1;3
2234;1;1;1;2
2235;1;2;1;NA
2236;1;1;2;3
2237;1;1;0;3
2238;0;1;NA;NA
2239;2;1;1;1
2240;1;2;3;3
2241;1;0;1;0
2242;1;2;1;1
2243;1;NA;2;2
2244;1;2;1;1
2245;0;NA;1;1
2246;1;0;1;1
2247;1;NA;1;2
2248;0;NA;1;1
2249;0;1;1;1
2250;NA;2;1;3
2251;NA;0;1;1
2252;NA;0;1;1
2253;1;1;1;0
2254;2;1;1;1
2255;1;2;1;1
2256;0;1;1;1
2257;1;0;0;0
2258;1;1;1;0
2259;1;2;1;3
2260;2;1;1;1
2261;0;1;1;1
2262;NA;2;1;2
2263;NA;2;1;1
2264;NA;NA;2;1
2265;NA;1;1;2
2266;NA;0;1;0
2267;NA;0;1;1
2268;NA;NA;1;0
2269;NA;3;1;2
2270;NA;1;1;2
2271;2;1;1;1
2272;0;1;1;1
2273;1;1;1;2
2274;0;1;1;1
2275;NA;1;1;2
2276;0;1;1;1
2277;NA;1;1;0
2278;NA;2;1;1
2279;NA;1;1;2
2280;NA;2;1;1
2281;NA;2;1;2
2282;NA;2;2;1
2283;NA;2;3;1
2284;NA;1;2;1
2285;2;1;3;3
2286;1;1;2;1
2287;0;1;1;1
2288;1;2;2;2
2289;1;0;1;1
2290;1;2;1;3
2291;0;1;1;1
2292;2;1;1;1
2293;1;0;0;1
2294;0;3;1;1
2295;0;1;1;1
2296;2;1;1;1
2297;NA;1;1;2
2298;NA;1;1;2
2299;1;2;3;1
2300;2;1;1;1
2301;0;0;1;1
2302;NA;NA;1;2
2303;0;1;1;1
2304;NA;2;1;1
2305;NA;NA;1;0
2306;1;2;2;2
2307;0;3;1;1
2308;1;0;1;1
2309;2;NA;1;1
2310;1;2;1;1
2311;1;NA;1;2
2312;2;1;1;1
2313;1;2;1;3
2314;0;NA;1;NA
2315;0;1;1;1
2316;NA;0;1;1
2317;2;1;1;1
2318;1;2;1;1
2319;2;1;1;1
2320;1;1;2;2
2321;2;1;1;1
2322;NA;1;2;3
2323;NA;2;1;1
2324;0;1;1;1
2325;NA;1;2;2
2326;NA;1;1;2
2327;NA;2;1;1
2328;0;1;1;1
2329;2;1;1;1
2330;1;2;1;1
2331;0;1;1;1
2332;1;2;1;1
2333;1;2;3;3
2334;0;1;1;1
2335;NA;1;1;2
2336;NA;2;1;1
2337;NA;0;1;1
2338;1;1;2;3
2339;1;0;1;1
2340;0;1;1;1
2341;NA;1;1;2
2342;NA;1;2;1
2343;NA;1;2;2
2344;NA;1;2;2
2345;NA;2;1;1
2346;NA;0;1;1
2347;NA;2;1;1
2348;NA;2;1;1
2349;NA;1;2;2
2350;NA;1;0;0
2351;NA;0;1;3
2352;NA;2;1;1
2353;1;2;2;2
2354;1;2;1;1
2355;0;1;1;1
2356;NA;2;1;1
2357;1;1;1;0
2358;1;0;1;1
2359;2;3;1;1
2360;1;2;2;2
2361;1;2;1;1
2362;2;2;1;1
2363;1;1;1;2
2364;1;1;1;0
2365;1;2;3;0
2366;1;0;0;0
2367;1;1;2;2
2368;1;1;1;2
2369;0;1;1;1
2370;NA;1;1;2
2371;NA;1;1;0
2372;0;1;1;1
2373;1;0;0;0
2374;0;1;1;1
2375;0;1;1;1
2376;NA;1;1;0
2377;NA;2;1;1
2378;1;2;1;1
2379;1;2;1;1
2380;1;0;0;0
2381;0;1;1;1
2382;0;1;1;1
2383;NA;1;1;0
2384;NA;1;2;2
2385;1;0;1;1
2386;1;1;1;2
2387;1;0;1;NA
2388;1;2;3;4
2389;0;1;1;1
2390;NA;2;1;1
2391;NA;1;2;2
2392;1;2;1;1
2393;2;1;1;1
2394;0;1;1;1
2395;NA;2;1;1
2396;1;2;1;1
2397;1;2;3;1
2398;0;1;1;0
2399;0;1;1;1
2400;0;0;1;1
2401;0;1;1;1
2402;NA;1;2;1
2403;NA;2;1;1
2404;NA;1;1;2
2405;NA;1;2;2
2406;NA;2;1;1
2407;NA;2;1;1
2408;NA;1;2;3
2409;NA;0;1;1
2410;2;1;1;1
2411;NA;1;1;2
2412;0;1;1;1
2413;1;2;1;1
2414;2;1;1;1
2415;0;1;1;1
2416;NA;2;1;3
2417;NA;NA;1;2
2418;NA;1;2;2
2419;NA;1;2;2
2420;NA;2;1;1
2421;NA;2;1;2
2422;NA;1;0;0
2423;1;1;2;2
2424;0;1;1;1
2425;1;2;1;1
2426;1;1;1;0
2427;1;1;0;1
2428;1;2;1;3
2429;1;1;1;0
2430;1;1;0;NA
2431;0;1;1;1
2432;NA;2;1;1
2433;0;1;1;1
2434;2;1;1;1
2435;2;1;1;1
2436;1;1;1;2
2437;1;2;1;1
2438;1;2;3;3
2439;2;2;1;2
2440;1;1;1;2
2441;2;1;1;1
2442;0;1;1;1
2443;NA;1;0;0
2444;NA;2;1;3
2445;NA;0;1;1
2446;NA;1;0;0
2447;NA;1;2;2
2448;NA;2;1;1
2449;NA;1;2;2
2450;NA;1;1;2
2451;1;2;2;1
2452;1;2;2;2
2453;1;0;1;1
2454;1;1;2;1
2455;1;2;1;1
2456;2;1;1;1
2457;1;1;1;2
2458;2;0;1;1
2459;0;1;1;1
2460;1;1;0;1
2461;0;1;1;1
2462;NA;1;2;2
2463;1;2;2;2
2464;1;1;2;2
2465;0;1;1;1
2466;NA;0;1;1
2467;NA;1;1;0
2468;1;1;1;0
2469;2;1;1;1
2470;1;2;1;1
2471;2;1;3;1
2472;0;1;1;1
2473;NA;1;2;2
2474;0;1;1;1
2475;NA;2;1;1
2476;NA;1;1;0
2477;2;1;1;1
2478;2;1;1;1
2479;2;1;1;1
2480;NA;2;1;1
2481;NA;1;1;2
2482;NA;2;1;1
2483;1;2;1;1
2484;2;1;1;1
2485;2;1;1;1
2486;0;3;1;1
2487;0;1;1;1
2488;NA;0;1;1
2489;0;1;1;1
2490;NA;3;1;2
2491;NA;2;1;3
2492;NA;1;2;1
2493;NA;2;1;2
2494;2;1;1;1
2495;NA;2;1;1
2496;1;2;1;1
2497;2;1;1;1
2498;0;1;1;1
2499;NA;2;1;1
2500;NA;0;1;0
2501;NA;2;1;1
2502;NA;2;1;1
2503;NA;2;1;1
2504;NA;0;1;0
2505;2;0;1;1
2506;0;1;1;0
2507;1;2;1;1
2508;0;1;1;1
2509;1;1;2;1
2510;0;1;1;1
2511;NA;2;1;1
2512;2;1;1;1
2513;NA;1;1;0
2514;NA;0;1;1
2515;0;1;1;1
2516;NA;1;2;2
2517;NA;1;1;0
2518;NA;0;1;1
2519;2;1;1;1
2520;1;0;1;1
2521;1;2;1;1
2522;1;2;1;1
2523;0;1;1;1
2524;NA;0;1;1
2525;1;1;1;2
2526;1;1;2;2
2527;0;1;1;1
2528;2;1;1;1
2529;1;1;1;2
2530;0;1;1;1
2531;NA;0;1;1
2532;NA;0;1;1
2533;NA;NA;1;0
2534;NA;1;1;2
2535;NA;1;1;2
2536;NA;1;2;NA
2537;NA;1;2;NA
2538;0;1;0;1
2539;2;1;2;1
2540;1;2;1;1
2541;1;1;1;0
2542;1;1;1;0
2543;1;2;3;4
2544;1;2;3;3
2545;0;1;1;1
2546;1;1;1;0
2547;2;2;3;1
2548;0;1;1;0
2549;1;2;1;1
2550;1;1;1;2
2551;0;1;1;1
2552;NA;2;1;1
2553;NA;1;1;2
2554;0;1;1;1
2555;0;1;1;1
2556;NA;1;1;0
2557;1;2;1;1
2558;0;1;1;1
2559;2;1;1;1
2560;NA;0;1;0
2561;1;1;1;2
2562;1;1;1;0
2563;1;1;2;2
2564;2;1;1;1
2565;1;2;3;4
2566;0;1;1;1
2567;1;1;1;2
2568;0;0;0;1
2569;0;0;1;1
2570;1;2;1;1
2571;1;0;1;1
2572;1;1;2;2
