;F2;G1;M1;N1
312;1;1;1;0
313;2;1;1;1
314;1;1;2;3
315;1;0;1;0
316;1;1;2;3
317;1;0;1;1
318;1;1;2;2
319;2;1;1;1
320;0;1;1;1
321;0;1;1;1
322;2;1;1;1
323;1;1;2;3
324;1;1;0;0
325;0;0;1;1
326;2;1;2;1
327;1;0;1;1
328;1;2;2;2
329;2;1;1;1
330;1;0;1;1
331;2;1;2;2
332;1;1;2;2
333;1;2;1;1
334;1;1;0;1
335;1;2;1;2
336;0;1;1;1
337;1;1;1;2
338;1;0;3;1
339;1;NA;NA;0
340;1;0;1;1
341;1;NA;0;0
342;1;0;1;1
343;1;1;2;2
344;1;1;1;2
345;1;1;1;0
346;1;1;2;3
347;0;1;1;1
348;1;1;1;0
349;2;3;1;NA
350;1;0;0;NA
351;1;2;2;NA
352;2;1;1;1
353;1;2;1;1
354;0;1;1;1
355;0;1;1;1
356;NA;1;1;2
357;0;1;1;1
358;0;1;1;1
359;0;1;1;1
360;0;1;1;1
361;0;1;1;1
362;2;1;1;1
363;1;0;1;1
364;0;1;1;1
365;NA;2;1;1
366;1;2;1;1
367;1;2;1;2
368;0;1;1;1
369;NA;0;1;1
370;1;0;0;0
371;1;1;2;2
372;1;2;NA;NA
373;1;2;1;1
374;1;2;3;1
375;0;1;1;1
376;NA;1;1;2
377;NA;0;1;3
378;1;1;2;1
379;2;1;1;1
380;0;1;1;1
381;NA;1;1;2
382;0;1;1;1
383;NA;1;1;2
384;1;2;1;1
385;0;NA;1;1
386;NA;NA;1;2
387;1;NA;2;1
388;0;1;0;0
389;2;1;1;1
390;0;0;1;1
391;1;2;1;1
392;0;0;1;1
393;2;1;3;1
394;1;2;2;2
395;0;1;1;1
396;0;1;1;1
397;0;1;1;1
398;1;1;2;2
399;0;1;1;1
400;1;2;2;2
401;1;2;1;1
402;1;2;2;2
403;2;1;1;1
404;0;1;1;1
405;NA;1;2;1
406;0;0;1;0
407;1;2;1;3
408;1;0;1;1
409;1;0;0;0
410;0;1;1;1
411;0;1;1;1
412;2;1;1;1
413;2;1;1;1
414;2;1;1;1
415;1;2;3;3
416;1;0;1;1
417;1;1;2;1
418;2;1;1;1
419;0;1;1;1
420;0;1;1;1
421;1;1;2;1
422;0;1;1;1
423;2;2;1;1
424;0;3;4;1
425;2;1;1;1
426;NA;2;1;1
427;1;2;1;1
428;1;1;2;2
429;0;1;1;1
430;0;1;0;0
431;1;0;0;0
432;1;0;1;1
433;0;NA;1;1
434;1;2;3;1
435;2;1;1;3
436;2;1;1;1
437;1;1;0;0
438;1;1;2;2
439;1;2;3;3
440;1;2;1;1
441;1;2;3;2
442;2;1;1;1
443;1;0;1;1
444;0;1;1;1
445;1;2;3;1
446;2;1;1;1
447;NA;1;2;2
448;NA;1;1;2
449;NA;1;1;0
450;2;1;1;1
451;1;1;0;1
452;1;1;1;0
453;0;1;1;1
454;2;1;1;1
455;2;1;1;1
456;2;1;1;2
457;0;1;1;3
458;2;1;1;1
459;1;2;3;1
460;2;1;1;1
461;1;1;1;0
462;0;1;1;1
463;1;1;2;2
464;0;1;1;1
465;NA;1;2;1
466;0;1;1;1
467;NA;2;1;1
468;1;1;2;1
469;2;1;1;1
470;0;1;1;1
471;NA;1;1;2
472;1;1;1;2
473;1;3;2;2
474;0;1;1;1
475;1;0;1;1
476;1;1;1;0
477;2;3;1;1
478;1;0;1;0
479;1;2;3;3
480;2;3;1;1
481;1;2;2;2
482;2;1;1;1
483;0;1;1;1
484;NA;2;1;1
485;NA;1;2;2
486;2;1;1;1
487;0;1;1;1
488;0;1;1;0
489;2;1;1;1
490;0;1;1;1
491;NA;0;1;1
492;NA;2;1;1
493;2;1;1;1
494;0;1;1;1
495;NA;1;2;2
496;NA;0;1;0
497;0;1;1;1
498;0;1;1;1
499;1;1;2;2
500;0;0;1;1
501;1;2;1;1
502;1;0;0;0
503;1;1;2;2
504;1;2;3;3
505;2;1;1;1
506;0;1;1;1
507;1;2;1;1
508;1;2;1;1
509;2;NA;1;1
510;1;0;1;1
511;2;1;1;1
512;1;2;1;1
513;0;1;1;1
514;1;1;1;0
515;1;1;1;2
516;1;2;2;2
517;1;2;3;3
518;1;0;1;1
519;1;2;3;4
520;1;0;1;1
521;2;1;1;1
522;1;2;2;2
523;1;0;0;0
524;0;1;1;1
525;NA;1;2;2
526;1;0;1;1
527;0;1;1;1
528;NA;2;1;1
529;1;2;1;1
530;1;1;2;2
531;0;1;1;1
532;0;0;1;1
533;0;1;1;1
534;NA;1;1;2
535;0;1;1;1
536;0;1;1;1
537;1;0;1;1
538;0;3;1;1
539;0;0;1;1
540;0;1;1;1
541;1;2;1;1
542;1;NA;1;0
543;0;0;1;1
544;0;1;1;1
545;NA;1;0;0
546;2;1;1;1
547;NA;2;1;1
548;0;1;1;1
549;NA;1;1;0
550;0;1;1;0
551;1;2;1;3
552;0;0;1;1
553;NA;NA;1;2
554;1;2;2;3
555;1;2;2;2
556;1;2;1;1
557;1;1;2;2
558;1;0;0;0
559;1;1;1;2
560;2;1;1;NA
561;1;0;0;1
562;0;1;0;0
563;1;1;0;0
564;2;1;3;3
565;1;2;3;1
566;1;1;1;2
567;1;0;0;1
568;1;1;2;2
569;1;2;2;2
570;0;1;1;0
571;0;1;1;1
572;1;2;1;2
573;1;2;3;1
574;1;2;3;1
575;1;0;1;1
576;0;1;1;1
577;NA;1;3;0
578;1;2;1;1
579;1;2;1;1
580;1;1;1;2
581;1;2;1;1
582;0;NA;1;1
583;1;2;1;1
584;1;2;3;3
585;1;2;1;1
586;1;2;1;1
587;1;0;1;1
588;1;2;1;2
589;1;0;1;1
590;1;2;2;2
591;1;2;3;4
592;0;1;1;1
593;0;1;0;0
594;2;1;1;1
595;2;1;1;1
596;1;2;3;4
597;1;0;1;1
598;1;1;2;2
599;0;1;2;2
600;0;1;1;1
601;1;1;1;2
602;1;1;2;1
603;1;1;2;3
604;1;1;1;2
605;1;2;1;1
606;1;0;1;1
607;0;0;1;1
608;1;0;1;1
609;2;3;1;1
610;0;1;1;1
611;1;1;1;2
612;1;0;0;0
613;2;0;1;1
614;0;1;1;1
615;NA;2;1;1
616;0;1;1;1
617;1;2;1;1
618;1;2;1;1
619;1;2;1;1
620;1;0;1;1
621;0;1;1;1
622;0;1;1;1
623;2;1;1;1
624;0;1;1;1
625;1;0;1;1
626;0;0;1;1
627;0;1;1;1
628;1;2;3;3
629;1;2;1;1
630;0;1;1;0
631;1;2;1;1
632;1;NA;2;2
633;0;NA;1;1
634;1;1;2;2
635;0;1;1;1
636;0;1;1;1
637;0;3;1;1
638;0;1;1;1
639;0;1;1;1
640;NA;2;1;1
641;NA;NA;1;0
642;2;1;2;1
643;1;1;1;0
644;1;0;1;1
645;0;1;1;1
646;1;2;1;1
647;1;0;1;1
648;1;2;1;1
649;1;2;2;2
650;1;2;2;2
651;1;1;2;2
652;0;1;1;1
653;NA;0;1;1
654;NA;1;2;2
655;2;1;1;1
656;1;1;2;1
657;1;1;2;1
658;0;0;3;1
659;1;2;1;1
660;1;1;1;2
661;1;2;1;1
662;0;1;1;1
663;0;1;1;1
664;NA;0;1;1
665;0;1;1;1
666;NA;1;1;2
667;2;1;1;1
668;NA;2;1;1
669;0;1;1;1
670;2;1;1;2
671;1;2;1;2
672;1;1;2;3
673;1;0;3;3
674;1;1;2;2
675;1;1;1;0
676;0;1;1;NA
677;1;0;1;0
678;0;NA;1;NA
679;2;NA;1;NA
680;2;1;1;0
681;0;1;1;1
682;1;2;1;1
683;1;1;1;2
684;1;2;2;2
685;1;2;0;0
686;1;1;2;3
687;1;0;1;1
688;0;NA;1;1
689;1;1;1;2
690;1;1;1;2
691;1;1;1;2
692;1;2;3;3
693;1;2;3;4
694;1;2;2;2
695;1;1;0;0
696;1;1;2;3
697;2;1;1;1
698;0;1;1;1
699;1;0;1;1
700;1;1;2;1
701;1;2;1;1
702;2;1;1;1
703;1;1;2;3
704;1;2;1;1
705;1;NA;1;0
706;1;2;1;1
707;1;0;0;1
708;2;1;1;1
709;1;2;1;1
710;1;0;1;1
711;1;NA;1;2
712;1;2;3;2
713;0;0;1;1
714;1;2;3;3
715;0;1;1;1
716;NA;2;1;1
717;0;0;1;1
718;1;1;2;2
719;1;1;1;0
720;1;1;2;3
721;0;1;1;1
722;0;1;1;1
723;NA;2;1;1
724;NA;1;1;2
725;NA;0;1;NA
726;1;1;2;1
727;0;1;1;1
728;0;1;1;1
729;NA;1;2;2
730;NA;0;0;1
731;0;0;1;1
732;1;1;2;2
733;0;1;1;1
734;NA;2;1;1
735;0;1;1;1
736;0;1;1;1
737;NA;1;2;2
738;2;1;1;1
739;0;1;1;1
740;NA;0;1;1
741;1;2;2;2
742;1;1;2;2
743;1;2;2;2
744;1;2;1;1
745;1;1;1;2
746;1;1;1;0
747;1;1;1;0
748;0;1;1;0
749;0;1;1;1
750;0;1;1;1
751;NA;0;1;1
752;2;2;3;1
753;1;1;1;2
754;1;2;1;1
755;1;2;1;1
756;2;2;1;1
757;0;1;1;1
758;NA;2;2;1
759;1;1;1;2
760;1;0;1;1
761;1;1;1;2
762;0;1;1;1
763;NA;2;1;1
764;NA;0;1;1
765;NA;1;0;1
766;2;1;1;1
767;0;1;1;1
768;2;1;1;1
769;0;1;1;1
770;0;1;1;1
771;NA;2;1;3
772;NA;0;0;1
773;0;1;1;1
774;2;1;1;1
775;0;1;1;1
776;NA;2;1;1
777;NA;0;1;1
778;0;1;1;1
779;0;1;1;1
780;NA;1;0;0
781;NA;0;1;1
782;NA;NA;1;0
783;0;1;1;1
784;0;1;1;1
785;1;0;1;0
786;1;1;1;2
787;0;1;1;NA
788;1;1;2;1
789;2;1;1;3
790;2;1;1;2
791;2;3;1;1
792;0;1;2;0
793;2;1;1;1
794;2;1;1;1
795;2;1;1;1
796;1;0;1;1
797;1;1;2;3
798;2;1;NA;NA
799;0;3;1;0
800;0;1;1;1
801;1;0;3;3
802;2;NA;1;1
803;1;2;1;1
804;1;2;1;1
805;1;1;2;3
806;1;1;1;0
807;1;2;1;1
808;2;1;1;1
809;1;1;2;1
810;1;2;1;1
811;1;0;0;0
812;1;0;1;1
813;1;2;1;1
814;1;1;2;1
815;0;1;NA;1
816;1;1;2;1
817;1;2;0;0
818;1;1;2;2
819;1;1;2;1
820;1;2;1;1
821;1;0;1;1
822;1;NA;0;1
823;1;1;2;2
824;0;1;NA;NA
825;1;1;1;2
826;1;1;2;1
827;1;2;3;3
828;1;1;2;1
829;0;0;NA;1
830;1;0;0;0
831;1;2;1;1
832;0;NA;1;1
833;1;1;1;2
834;1;1;1;2
835;1;1;1;2
836;2;1;1;1
837;1;1;0;0
838;1;1;0;1
839;2;1;1;1
840;0;1;0;0
841;1;1;2;3
842;2;1;NA;NA
843;0;1;1;0
844;1;3;1;2
845;1;2;3;3
846;1;1;1;2
847;0;1;1;1
848;NA;2;1;1
849;1;2;2;2
850;0;1;1;1
851;NA;0;1;1
852;1;2;1;1
853;1;1;1;2
