;C1;C2;C3;D;E2;F2
225;1;1;1;1;1;0
226;1;1;1;1;2;NA
227;1;1;1;1;2;1
228;1;1;1;1;1;0
229;1;1;1;1;1;0
230;1;1;1;1;0;NA
231;1;1;1;1;1;0
232;1;1;1;1;1;0
233;1;1;1;1;1;0
234;1;1;1;2;1;NA
235;1;1;1;1;2;1
236;1;1;1;1;2;2
237;1;1;1;1;1;0
238;1;1;1;1;1;0
239;1;1;1;1;1;0
240;1;1;1;1;1;0
241;1;1;1;1;1;2
242;1;1;1;1;1;2
243;1;1;1;1;1;2
244;1;1;1;1;1;2
245;1;1;1;1;1;0
246;1;1;1;1;1;0
247;1;1;1;1;1;0
248;1;1;1;1;1;2
249;1;1;1;1;1;2
250;1;1;1;0;0;NA
251;1;2;1;3;0;NA
252;1;2;2;2;2;2
253;1;1;1;1;1;0
254;1;1;1;1;1;0
255;1;1;1;1;0;1
256;1;1;1;1;1;0
257;1;1;1;1;1;2
258;1;1;1;1;2;1
259;1;1;1;1;1;2
260;1;1;1;1;2;1
261;1;1;1;1;0;1
262;1;1;1;1;1;0
263;1;1;1;1;1;2
264;1;1;1;1;1;2
265;1;1;1;1;1;0
266;1;1;1;1;1;2
267;1;2;2;2;2;2
268;1;1;1;1;1;2
269;1;1;1;1;1;2
270;1;1;1;1;2;1
271;1;1;1;1;1;2
272;1;1;1;1;1;2
273;1;1;1;1;1;0
274;1;1;1;1;1;0
275;1;1;1;1;1;0
276;1;1;1;1;2;NA
277;1;1;1;2;1;1
278;1;1;1;1;1;2
279;1;1;1;1;1;0
280;1;1;1;1;1;0
281;1;1;1;1;1;2
282;1;1;1;1;0;NA
283;1;1;1;1;1;0
284;1;1;1;1;1;2
285;1;1;1;1;1;0
286;1;1;1;1;1;0
287;1;1;1;1;1;2
288;1;1;1;1;1;0
289;1;1;1;2;1;NA
290;1;1;1;1;1;2
291;1;1;1;1;1;0
292;1;1;1;1;2;NA
293;1;1;2;1;1;NA
294;1;1;1;1;1;0
295;1;1;1;1;0;NA
296;1;1;1;1;1;0
297;1;1;1;1;1;0
298;1;1;1;1;1;2
299;1;1;1;1;1;0
300;1;1;1;2;1;1
301;1;1;1;1;1;2
302;1;2;1;2;2;2
303;1;1;1;1;1;0
304;1;1;1;1;1;0
305;1;2;2;2;2;1
306;1;1;1;1;2;1
307;1;1;1;1;1;2
308;1;1;1;0;1;1
309;1;1;1;0;1;0
310;1;1;1;1;1;0
311;1;1;1;1;1;0
312;1;1;1;1;1;0
313;1;1;1;1;1;0
314;1;1;1;1;1;0
315;1;2;1;1;1;1
316;1;1;1;1;1;0
317;1;1;1;1;1;2
318;1;1;1;1;1;0
319;1;0;1;0;0;0
320;1;1;1;1;0;1
321;1;1;1;1;NA;2
322;1;1;1;1;1;0
323;1;1;1;0;1;NA
324;1;2;1;2;2;1
325;1;1;1;1;2;1
326;1;1;2;1;1;1
327;1;1;1;1;1;0
328;1;1;1;1;1;0
329;1;1;1;1;1;2
330;1;1;1;2;2;NA
331;1;1;1;1;1;0
332;1;1;1;0;0;NA
333;1;2;1;3;3;NA
334;1;0;1;0;0;0
335;1;1;1;1;1;0
336;1;1;1;1;0;NA
337;1;2;1;1;1;1
338;1;1;1;0;0;0
339;1;1;1;2;2;2
340;1;1;1;0;1;0
341;1;1;1;1;1;0
342;1;1;1;1;1;0
343;1;1;2;1;1;1
344;1;1;1;1;1;0
345;1;1;1;1;1;0
346;1;1;1;1;0;1
347;1;1;1;1;1;0
348;1;1;1;1;1;0
349;1;2;3;2;2;1
350;2;1;1;1;2;1
351;1;1;1;1;1;0
352;1;1;1;1;1;0
353;1;1;1;1;1;0
354;1;1;1;1;1;2
355;1;1;1;1;1;2
356;1;2;1;2;2;0
357;1;0;1;1;1;1
358;1;NA;1;0;1;0
359;1;NA;0;1;1;1
360;1;1;1;1;1;0
361;1;1;1;1;1;0
362;1;1;1;0;1;1
363;1;1;1;1;1;0
364;1;1;1;1;1;0
365;1;1;1;1;1;0
366;1;1;1;1;1;0
367;1;1;1;1;1;0
368;1;2;1;2;2;2
369;1;1;1;1;1;0
370;1;1;1;2;3;2
371;1;1;1;0;0;0
372;1;1;1;1;1;0
373;1;1;1;1;1;0
374;1;1;1;1;1;0
375;1;1;1;0;1;NA
376;1;1;1;1;1;0
377;1;1;1;1;1;0
378;1;1;1;2;1;3
379;1;1;1;1;1;0
380;1;1;1;1;1;0
381;1;1;1;1;0;3
382;1;1;1;1;0;1
383;1;1;1;1;1;2
384;1;2;0;0;4;2
385;1;1;1;1;1;0
386;1;1;1;0;0;1
387;1;1;1;1;2;1
388;1;1;1;1;1;0
389;1;1;1;1;1;2
390;1;1;1;0;1;1
391;1;0;1;0;1;0
392;1;1;2;2;2;2
393;1;1;1;1;1;0
394;1;1;1;1;1;0
395;1;1;1;1;1;0
396;1;1;1;1;1;2
397;1;1;1;1;1;0
398;1;1;1;2;1;NA
399;1;1;2;1;1;1
400;1;1;1;1;1;2
401;1;1;1;2;1;1
402;1;1;1;1;1;0
