Graphie du mot Dieu
Lemme : dieu	132
Deu	74
Dex	54
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	80
leu	49
leus	18
liu	6
lius	3
lui	2
lieu	1
luies	1

§10 Réduction de e ouvert libre en i
haitier	9	haitié haitiez hetiez hertie heitez heitié heitiez 
haucier	1	hauça 
herbergier	9	herberja herberga herbergier herberge herbergeroit herbergiez 
irier	2	iriés irié 
justicier2	1	justicent 
laidengier	10	laidengierent laidengoit laidengier laidengié ledengier leidenga leidengiez leidengoient 
laiier2	2	leiras leiroit 
laissier	97	lessier lessa lessié lessoient leissoient lessoit lessast lessiez lessons lessierent lessai leissent let lessasent lessions lessissons lessassent lesseroient leissons lesses lest lai lessas Lessiez lessent lesseront lairons lesse lessie 
lechier	2	lechoit lesça 
lieu	80	liu leu lius leus lieu luies lui 
lieue	11	luies liues 
liier3	10	lierent liés liiez lié lions 
lumiere	16	lumiere lumieres lumiere﻿ 
mangier	55	mengue mengié mengeroit mengier menja mengoie menjoient mengoient menjames menga mengierent mengoit mengiers menjoit mengerons menguce 
matiere	2	matere 
merveillier	1	merveil 
mieus	13	mielz mius miuz 
nagier	2	najoient naja 
noiier2	2	noié noierent 
noncier1	7	nonça noncierent noncie noncier 
oier	14	oïr oïes 
otroiier	19	otroia otroier otroié otroit otroierent otroions otroiast otroie 
paisier	1	paisible 
pareillier1	1	pareillé 
parier	1	pardite 
partie	32	partie parties ﻿parties 
pechier	4	pecheroie pechié pechames 
peschier2	6	peschier peschoient peschié 
ploiier	3	ploier plaia ploïe 
porchacier	1	porchaça 
priier	105	proier proia pria prioit proi priierent priast proié prie pri priier proiasse proiés proierent proiast prioa proiez prions Proions proions proiassent preïssons proierons proit 
prinseignier	5	presigniez presignier prensignast prensigniez presenterent 
proiier	4	prooient proioit proumistrent 
prononcier	1	prononcié 
prëechier	36	preechier presçoie preeschier preechiez preescha preechoit preeschant preechant preechoient preechierent preecant preesche preeche preesce preeschoit prenderons 
rebaillier	1	rebailla 
recomencier	8	recomençoit recomencierent recoumença recomencier recomença recomant 
redrecier	1	redreça 
relaiier	1	releroiz 
