
Groupe scy :  ss
voloir	1	vousisses	1	
vëoir	7	veïssiez	6	veïsses	1	

§42 G+a lat. Et G + a,e,i germanique – conservation de la gutturale.
§42 g pic. vs j fr à l'initiale
jesir	48	gisoit	20	gesir	7	geta	1	geü	5	gisant	2	gist	3	gissant	1	gisoient	3	gis	1	
jeter	28	gieter	2	geter	2	getés	1	gieterent	2	geterent	3	gieta	1	getez	4	geta	5	getee	3	gietes	1	gietast	1	geté	1	giete	1	getoient	1	
jëune	17	geunes	8	
jëuner	6	geuné	1	

§42 g pic. vs j fr à l'intérieur
enjoindre	2	enjoing	1	
rejehir	13	regehi	3	regehissoit	1	regehir	1	regehis	1	regehissoient	1	regehissons	1	regehirent	1	
rejeter	1	regieta	1	


§42 gu/gh pic. vs g à l'initiale 
gaire	4	guaires	1	gueres	3	
gaitier	5	guetoit	1	guetent	1	guetier	1	guaitoit	1	guetoient	1	
garir	3	gueriz	1	guerissoit	1	guerir	1	
garison	4	guerissons	1	guerisson	1	guerison	2	
gaster	1	guasterent	1	
gerir	28	guerir	3	gueriz	14	guerissoient	4	guerie	4	gueresist	1	gueries	1	gueri	1	

§42 gu/gh pic. vs g à l'intérieur 
agait	1	aguaiz	1	
agaitier	2	aguetier	1	aguaitoit	1	
assëurer	1	assegure	1	
enorgoillir	2	orguelli	1	enorguellist	1	
igal	1	inguaus	1	
langage	4	languages	2	language	2	
langor	1	languer	1	
langoros	3	languereus	3	
lombart	3	Longuebarz	2	Longuebars	1	
lonc	11	longue	10	longues	1	
longement	13	longuement	12	Longuement	1	
mangier	3	mengue	2	menguce	1	
orgoillir	1	orguellesissent	1	
orgoillos	4	orgueilleus	1	orguilleus	3	
orgoillosement	1	orguelleusement	1	


§43 : le traitement de cw intervocalique, la graphie du terme eau.
aigue	52	eve	46	eaue	5	eves	1	


§46 : Les dentales : conservation d'un t final
Conservation d'un t final dans les ppe
avoir	1	eüt	1	
contredire	1	contredit	1	
covrir	1	covert	1	
destruire	1	destruit	2	
dire	1	dit	54	
enjoindre	1	enjoint	1	
escrire	1	escrit	3	
estruire2	1	estruit	1	
faire	1	fet	51	fait	31	
laissier	1	let	1	
mesfaire	1	mesfeit	1	mesfet	1	
morir	1	mort	5	
oir	1	oït	1	
ovrir	1	overt	1	
poindre	1	point	1	
refaire1	1	refet	1	
repondre	1	repost	1	
sofrir	1	soffert	3	sosfert	1	
traire	1	tret	1	

Conservation d'un t final dans les autres mots
conte2	2	conte	1	conteret	1	
doi	5	doiz	2	doit	3	
morir	78	morz	35	morir	11	muert	2	morte	2	mort	6	moroit	1	morut	7	morust	1	mors	4	mortes	1	muerent	1	morras	2	morroit	1	morurent	2	morussent	1	moroient	1	
pechié	23	pechiez	12	pechiés	5	pechié	5	pechiet	1	
prevoste	4	prevost	2	prevoz	2	
proprïeté	1	proprietet	1	
tiran	1	tyrant	1	
