"","LiSaintAlexis.txt","LiSaintJerome.txt","LiSaintDialogues.txt","LiSaintBenoit.txt","LiSaintBrice.txt","LiSaintGilles.txt","LiSaintNicolas.txt","LiSaintMartin.txt","LiSaintMarcel.txt"
"a3",2.2381,1.453,9.9253,15.8389,1.4743,3.3944,9.0499,11.2366,7.3195
"lor2",-0.2886,4.0915,1.6076,1.3275,0.3281,-0.6895,17.2421,4.6018,7.0255
"plaisir",-0.2244,-0.1316,-1.0326,-0.6961,-0.075,-0.2408,-1.1385,-0.8289,-0.3665
"et",11.413,2.0444,13.6147,4.4538,2.1861,4.3547,26.8695,20.8777,37.8175
"chois",-0.0268,-0.0157,-0.1234,-0.0832,-0.009,-0.0288,-0.1361,-0.0991,-0.0994
".",-110.1203,-60.7517,-Inf,-303.2426,-40.2042,-111.2562,-Inf,-Inf,-Inf
"abatre",-0.4631,-0.2717,1.5583,0.6247,-0.1549,-0.4969,-1.5413,1.3317,-0.3525
"mangier",0.4188,1.4103,1.92,3.3472,-0.4546,-0.819,-1.6229,0.3151,-0.5514
"il",6.455,9.7699,30.2577,47.4276,6.2625,27.9941,48.9501,36.8658,7.5293
"vëoir",0.4688,0.6933,4.3622,2.7142,0.301,0.3423,-1.3407,1.1768,-1.13
"cui",-0.5545,-0.3253,-2.5514,-1.7201,-0.1854,-0.595,-2.8131,-2.0482,-2.0557
"merveille",-0.6777,-0.3975,-0.8007,0.2761,-0.2266,-0.2997,-0.4865,0.8946,-2.5124
"a3+le",-0.721,-0.7262,-1.0053,-1.5922,-0.5651,0.4214,4.7018,-0.7435,2.9589
"cuer2",-0.7194,-0.5584,-1.9671,-1.714,-0.242,-1.2752,-2.4644,-1.1223,-1.3892
"sëoir",0.5803,-0.1425,1.4153,-0.2769,-0.2581,-0.8282,-3.9158,-0.4419,-2.8615
"le",5.3559,5.1994,1.8245,5.2024,0.8327,4.8009,15.3399,10.1842,5.92
"maistre",-0.6793,0.2215,-1.591,-0.8599,-0.2272,-0.3008,-2.494,-1.6772,0.8834
"qui",-21.3616,-12.5311,-98.2911,-66.2629,-7.1433,-22.921,-108.373,-78.9027,-79.1946
"tant",0.7601,0.4361,0.6083,0.3578,0.3491,1.2995,2.198,1.0099,-1.4427
"bien1",-1.1338,-1.1092,-1.0105,-3.4389,0.3971,-3.8527,-4.9173,-0.4101,-4.1249
"porter",-0.3346,0.4052,-1.4552,-0.3286,-0.5599,-1.0855,0.6189,-0.7905,-0.6225
"dire",2.1132,-0.4894,4.7848,-0.3401,2.6716,-2.3185,-0.4446,-0.7733,4.5598
"que4",0.4034,0.533,24.2725,5.3358,1.6073,1.2828,5.9838,10.7186,1.8148
"arabi",-0.0679,-0.0398,-0.3123,-0.2105,-0.0227,-0.0728,-0.3443,-0.2507,-0.2516
"ne1",-1.647,-1.4495,0.81,-4.2208,-0.72,-4.4688,-18.4916,-2.7547,-13.6388
"savoir",1.4624,1.5366,2.5287,1.4782,1.6915,-0.3368,-0.4793,1.0926,-1.4469
"sustance",-0.0323,-0.0189,-0.1486,-0.1002,-0.0108,-0.0346,-0.1638,-0.1193,-0.1197
"devenir",0.8466,-0.1686,-0.7144,-0.1781,0.7022,1.4537,-0.2441,0.6402,-0.254
"de+le",-1.5289,0.5725,3.8159,-0.8165,-1.0389,0.4201,4.1972,0.4241,2.9942
"cel",2.2747,-1.562,9.9509,5.6076,0.7341,0.4668,9.7614,10.9734,0.8296
"que2",36.9651,17.441,137.7967,90.1097,8.1663,42.0974,202.9185,124.9081,119.8977
"denoiier",-0.0055,-0.0032,1.2492,-0.017,2.3762,-0.0059,-0.0278,-0.0202,-0.0203
"esperitüelment",-0.0082,-0.0048,-0.0378,-0.0255,-0.0027,-0.0088,-0.0417,-0.0303,-0.0304
"user",-0.1549,-0.0909,-0.2901,-0.4805,-0.0518,-0.1662,-0.7858,-0.5721,-0.5743
"par",-1.2147,-0.7563,5.0409,3.7164,1.1053,5.3131,2.6291,6.442,2.6586
"saint",17.9977,13.8172,107.458,181.0318,31.4819,50.1495,150.667,151.2258,161.5763
"espire",-0.0421,-0.0247,-0.1939,-0.1307,-0.0141,-0.0452,-0.2138,-0.1557,-0.1562
"conduire",-0.173,-0.1015,-0.7958,-0.5365,-0.0578,-0.1856,-0.8775,-0.6389,-0.6412
"conduit",-0.0525,-0.0308,-0.2418,-0.163,-0.0176,-0.0564,-0.2666,-0.1941,-0.1948
"mais1",-1.2729,-1.0148,2.4874,-1.2303,-0.5535,-2.1485,-4.355,0.3515,-5.4767
"pöoir",-0.3742,-0.4671,-1.3209,-0.3963,0.2746,-1.5693,-0.8206,-0.6924,-1.6016
"nïent",-0.7155,-0.4197,0.3152,-0.3738,1.7334,0.278,-0.2624,0.3926,1.0463
"plus",-1.5751,-1.2569,-1.0193,-4.1345,0.3613,0.2812,-6.5122,-1.6377,-9.8529
"là",4.818,2.2627,15.4819,10.4166,0.9555,6.0649,9.5846,7.9656,13.4042
"aigue",-0.2009,-0.5543,-0.3372,3.2126,-0.316,1.0585,-2.3174,-1.8721,2.4166
"drap",2.7523,-0.2155,-0.3403,-1.1393,2.5177,-0.3941,0.8516,-0.4011,-0.4038
"chaut",-0.2666,-0.1564,-0.643,-0.8269,-0.0891,-0.286,-1.3523,-0.4697,-0.2191
"boivre",0.2045,-0.2495,-1.2151,1.906,-0.1422,-0.4564,0.2584,-0.2898,0.5264
"cant1",1.2096,1.6049,2.9295,5.2973,-2.8407,4.1945,9.7169,5.5867,4.3333
"estre1",-0.3423,-0.5384,0.9615,-1.2018,2.2043,0.3883,-0.4925,2.7614,0.6289
"soleil",0.3372,-0.157,0.503,-0.8303,-0.0895,-0.2872,-0.7412,-0.9886,0.7075
"moillier2",-0.0323,-0.0189,-0.1486,-0.1002,-0.0108,-0.0346,-0.1638,-0.1193,-0.1197
"por2",1.0256,1.6952,3.0769,2.3706,0.4498,5.5635,1.153,3.2591,2.2102
"coi2",-1.2373,-0.7258,-4.5424,-3.8381,-0.4138,-1.3276,-6.2772,-4.5702,-4.5871
"voir",-0.7064,-0.7689,-4.8568,-1.7827,-0.4383,-0.7789,-2.6427,-4.8413,-3.7722
"en1",1.3962,2.2984,0.5693,4.3506,0.59,0.3195,4.3117,5.8913,2.9163
"voloir",-0.6347,-0.4018,1.0202,-0.9426,0.4579,0.3266,0.4462,-0.363,-2.686
"solaz",-0.1259,-0.0738,0.4156,-0.3905,-0.0421,-0.1351,-0.6387,-0.465,-0.4667
"soi1",-0.3238,-0.5509,-0.7531,1.0469,-0.3075,-0.5981,-0.7185,0.822,-1.0926
"i2",-1.2529,-1.899,1.5772,-0.9142,-0.9302,-2.8455,-0.3921,-0.6331,-1.9528
"ferir",-1.0769,-0.2416,-2.4399,-3.3404,-0.3601,-0.2977,-1.1681,-0.7121,-1.3087
"venir",-0.2698,1.59,5.5914,4.4157,0.3856,1.1909,2.4919,6.6724,2.2901
"harbagin",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"nul",-0.2715,0.4531,1.9819,-0.5681,1.0413,-0.3577,0.3561,0.8125,0.4611
"sens",-0.5529,-0.3243,-0.5139,0.4443,-0.1849,-0.219,-0.2706,-2.0421,-0.5117
"ne2",0.5075,0.3146,-0.393,-3.692,0.5383,-1.2727,-3.6836,6.73,-0.3581
"de",1.5478,0.9998,2.2108,-1.5595,0.8629,1.2887,3.0182,4.2116,3.2363
"encui",-0.1259,-0.0738,-0.5792,-0.3905,-0.0421,-0.1351,-0.6387,-0.465,-0.4667
"verité",-0.1647,0.3117,-1.4825,-0.5023,-0.1657,-0.5315,-1.6803,-0.2298,-0.6838
"faire",0.3572,0.3819,-2.8177,-0.3585,-1.4278,-0.8462,-2.1589,-2.0498,-0.4597
"veille",-0.1494,-0.0877,0.3292,-0.1477,-0.05,1.2733,-0.7581,-0.1952,1.3979
"armage",-0.0033,-0.0019,-0.0151,-0.0102,-0.0011,-0.0035,-0.0167,-0.0121,-0.0122
"prendre",-0.8564,0.3265,-2.7199,-0.3372,-0.9356,-0.7857,0.8094,-3.0277,-0.375
"deus",0.4045,-1.2898,-5.9452,-3.9224,-0.7352,-0.6779,-6.0891,-5.8299,-4.3364
"ce1",1.7476,0.7327,21.3832,6.9032,1.1904,0.8134,6.7612,14.618,3.9852
"rescorre",-0.075,-0.044,0.2611,-0.2326,-0.0251,-0.0805,0.2339,-0.277,0.3254
"jhesu",-0.4428,-0.2598,-2.0376,-1.3736,-0.1481,-0.4752,-2.2466,-1.6357,-1.6417
"cri",0.3838,-0.1358,-0.5262,-0.7182,-0.0774,0.3609,-0.3062,-0.3819,-0.384
"nef2",0.5704,0.3486,1.6893,-0.7471,-0.1472,1.0144,17.5836,-0.9487,0.7537
"pur",-0.1067,-0.0626,-0.1619,0.2729,-0.0357,0.6349,-0.5415,0.2243,0.6369
"bel1",0.4959,-0.3435,-6.7113,-0.9811,-0.8317,-1.3976,-0.5956,-2.8735,1.1268
"son4",3.6388,-0.8304,-0.4626,9.815,-1.0163,4.2699,-0.375,0.3268,0.3902
"pere",6.5049,1.6561,-3.1028,1.654,0.4626,0.4507,0.9152,0.4303,0.3171
"je",-2.3466,-8.291,3.1089,-22.2058,-2.0561,-16.7901,-16.5647,-26.4897,-6.0305
"vos",-2.0631,-0.4696,-3.8973,-4.4105,-1.51,-6.9031,-3.8627,-6.4798,-3.367
"ja",-3.2603,0.807,-2.2616,-3.605,-1.0902,-1.8792,-2.2092,-2.8148,-1.9497
"sans",-1.5598,-0.2236,-2.1451,-2.4488,0.3737,-0.4396,-0.8495,-0.3348,-0.8921
"faille3",-0.1303,-0.0764,-0.5994,-0.4041,-0.0436,-0.1398,-0.6609,-0.4812,-0.4829
"entre2",-0.9892,-0.5803,-4.5518,-3.0686,-0.3308,-1.0615,-2.4882,-3.6539,-2.6913
"quel1",0.5198,0.3043,0.3719,-1.5123,0.3492,-0.3325,0.9095,-1.253,-2.6264
"cest",0.3404,2.4132,3.116,11.0435,0.8671,0.8218,5.4524,4.1432,9.0167
"si",8.245,9.8797,36.3833,35.1537,3.824,8.3817,47.529,21.5253,42.4911
"haut",1.9006,0.5783,2.0651,4.7803,-0.1365,-0.229,8.8019,4.8001,1.9518
"pris1",-0.4034,-0.2367,-1.8562,-1.2514,-0.1349,-0.4329,-2.0466,-1.4901,-1.4956
"profete",-0.2841,1.2432,-0.703,-0.3993,-0.095,-0.3048,-0.8048,0.3633,-0.5178
"bone",-0.0109,-0.0064,-0.0504,-0.034,-0.0037,-0.0117,-0.0555,-0.0404,-0.0406
"droit",-0.4167,0.34,-1.5873,-1.6462,0.3793,-1.99,-5.3571,-1.5992,-0.4122
"sain",-0.5578,-0.3272,-1.726,0.6762,-0.1865,-0.2221,-1.3691,-0.5172,-0.5211
"metre2",-0.286,0.3124,-0.6675,-0.6331,0.4034,0.3513,0.5062,0.6446,-0.2789
"aparoir",0.2515,-0.2094,-0.9616,0.9418,-0.1193,1.2245,2.92,1.0641,1.9012
"ainc",-0.1992,-0.1169,-0.9167,-0.618,-0.0666,-0.2138,-1.0108,-0.7359,-0.7386
"trover",1.0979,0.8522,-0.2765,1.0852,-0.3883,-0.2629,-0.3279,-1.3105,-4.2419
"pareil",-0.0635,-0.0372,-0.2921,-0.1969,-0.0212,-0.0681,-0.3221,-0.2345,-0.2354
"en2",-1.3509,-0.3008,0.7114,-0.2822,0.5302,-0.4397,-2.2485,-4.9913,-3.7973
"avant",-0.2167,-0.5758,2.3069,-0.5218,-0.3282,-0.5183,-0.9323,-0.2621,-1.989
"après",-0.2978,0.8502,4.3264,1.902,2.2795,0.8794,-0.4588,5.052,1.9979
"tenir1",0.2686,-1.4881,-3.396,-1.9493,0.2394,-1.4277,-4.7276,-2.2386,-3.8416
"près",-0.3393,-0.1478,2.6233,1.5415,0.3415,-0.3769,-0.9836,0.8551,-2.0369
"mout",0.31,2.044,3.7524,4.8972,2.3245,2.7165,3.4244,2.4439,0.3098
"apareillier1",1.0051,0.3235,0.4085,0.3551,-0.1594,0.9377,0.9613,-1.0565,-0.2096
"port2",0.3484,-0.1516,0.8511,-0.8014,-0.0864,2.3847,7.7358,-0.9543,0.4231
"perillier",-0.0257,-0.0151,-0.1184,-0.0798,-0.0086,-0.0276,-0.1305,-0.095,-0.0954
"coment1",0.7592,-0.749,-0.5153,-0.3542,0.2035,-0.7511,0.9338,-0.3187,0.5275
"or4",-1.0787,-0.729,-0.6958,-2.3653,-1.3966,-2.6702,-4.1589,-2.7305,-4.901
"nostre",17.5105,8.3395,9.2798,14.3278,1.4428,23.51,30.6736,25.4875,62.6932
"grant",0.7387,0.3618,1.6093,1.0716,0.6622,2.5683,14.3068,7.5404,2.8255
"mesfait",-0.1828,1.588,0.5162,-0.2038,0.8817,1.1208,-0.1926,-0.2673,0.3359
"clamer",-0.2901,-0.1702,-1.3348,-0.8999,-0.097,0.291,-0.8283,-0.5308,-0.5336
"quite",-0.1691,-0.0992,-0.3315,-0.5246,-0.0566,-0.1815,-0.858,-0.6247,-0.627
"arbre",-0.3717,-0.218,1.3341,-1.1529,-0.1243,-0.3988,-1.8855,3.3743,-1.3779
"estachier2",-0.0066,-0.0039,-0.0302,-0.0204,-0.0022,-0.007,-0.0333,-0.0243,-0.0243
"nos1",-0.3817,4.7037,62.2142,-2.8786,0.342,0.492,7.1819,-0.3934,1.8644
"avoir",-2.2196,-1.5351,-0.3803,-0.7147,-0.7138,-1.4972,-0.5239,-1.6796,-4.9423
"tot",3.7344,-0.4032,1.1787,-0.63,0.5131,0.9293,2.4273,1.8353,22.1693
"destachier2",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"put",-0.0268,-0.0157,-0.1234,-0.0832,-0.009,-0.0288,-0.1361,-0.0991,-0.0994
"tel",0.6424,0.2601,-1.0459,0.6093,0.8101,-0.3462,-0.9875,0.9044,-2.9949
"monder2",1.365,-0.0112,0.7359,-0.0594,-0.0064,-0.0206,-0.0972,1.9359,0.8214
"cantque",-0.4992,-0.2929,-2.297,-1.5485,-0.1669,-0.5357,-2.5326,-1.8439,-1.8507
"monde1",-0.7962,-0.3712,-2.5913,-1.2215,-0.4779,-0.8768,-1.2397,-2.6887,-1.0865
"laver",0.6159,0.8236,-0.5541,-0.3735,1.0528,-0.1292,-0.2287,1.6979,3.1905
"se",-4.5137,-0.8523,-1.6922,-10.483,-0.4449,-1.3392,-13.3254,-5.7212,-11.6617
"seignor",7.933,0.9939,-2.8441,1.6129,0.6183,9.1707,39.2599,6.4772,32.1617
"desoz",1.0151,0.3267,0.4188,0.9051,-0.1578,0.4885,-1.5788,-0.6254,-0.6294
"letre",-0.295,-0.1731,-0.741,-0.1879,-0.0987,-0.3166,-0.8476,0.3398,0.3375
"atot",-0.1051,0.8783,-0.4835,1.3973,-0.0351,-0.1128,3.5825,-0.3882,0.2275
"sëel2",-0.0312,-0.0183,-0.1435,-0.0968,-0.0104,-0.0335,-0.1583,-0.1152,-0.1157
"mostrer",-0.8666,-0.1717,-1.7261,-0.3794,-0.2898,-0.4325,-0.9073,-0.2625,-2.2876
"recevoir",0.6505,1.7884,1.1141,0.8625,-0.2365,4.068,5.2671,8.9415,7.0201
"descrire",-0.0591,-0.0347,-0.272,-0.1834,-0.0198,-0.0634,-0.2999,-0.2183,-0.2191
"où",0.4111,2.0089,9.6122,12.8626,0.227,2.2089,3.9963,4.3471,4.3119
"ome",6.4433,-0.613,44.5753,29.5442,1.9339,21.7905,17.3156,29.3327,15.9629
"bon",0.752,-0.4993,-1.9323,-3.1266,-0.2967,0.4582,-0.4606,-0.416,0.3931
"avuec",-1.0971,-0.6436,-3.9457,-3.4032,-0.3669,-1.1772,-2.3655,-3.0372,-4.0674
"reposer",0.3823,-0.1365,-0.2561,2.155,-0.0778,-0.2496,0.8609,-0.8592,-0.3867
"devoir",-1.3187,-1.274,-1.9361,-1.1618,-1.5382,-1.5189,-2.9938,0.6378,-2.1979
"on",0.8829,0.8913,1.8681,0.3666,0.8822,0.3699,-0.2761,1.953,1.3449
"aloser",-0.0312,-0.0183,-0.1435,-0.0968,-0.0104,-0.0335,-0.1583,-0.1152,-0.1157
"pas",-3.6539,-1.3695,-12.7885,-6.9747,-1.2219,-2.2139,-18.537,-9.7507,-13.5461
"lëal",-0.2239,-0.1313,-1.0301,-0.6944,-0.0749,-0.2402,-1.1357,-0.8269,-0.8299
"fïer",-0.1472,-0.0864,-0.6775,-0.4567,-0.0492,-0.158,-0.3115,-0.5438,-0.1918
"senefiier",0.2644,-0.2,-1.5691,-1.0578,-0.114,-0.3659,-1.73,-1.2596,-1.2642
"croiz",-0.4286,-0.2514,-1.9721,0.4376,-0.1433,0.5442,0.2531,2.3762,0.3048
"precïos",0.6657,-0.062,0.513,-0.3277,-0.0353,-0.1133,1.4447,0.2271,3.4898
"sor2",-0.664,-0.9869,-0.9585,-0.6981,-0.2047,-0.7716,0.3987,0.8537,-0.3465
"vertu",-0.4467,-0.262,33.3702,-0.2175,0.5361,1.0001,2.1477,5.6406,-0.3257
"glorïos",-0.1554,-0.0912,-0.2917,-0.1574,-0.052,-0.1668,1.4364,-0.2077,2.6271
"enui",-0.3711,-0.2177,-1.7076,-0.2952,0.6046,-0.3982,-1.1544,-1.3708,-1.3758
"traire",-0.7581,-0.352,-0.2919,-0.4534,1.037,0.591,-0.3363,-1.6149,-1.6266
"saner",-0.0958,-0.0562,-0.1359,0.305,-0.032,3.9805,3.8285,0.7086,5.684
"rasemer",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"droiturier2",0.8561,-0.0382,0.82,-0.202,-0.0218,0.8279,2.9781,-0.2406,0.9711
"voie",0.4197,0.8469,0.8348,6.0568,0.2815,1.0347,0.6269,2.7219,0.5138
"ravoir2",0.4057,0.5955,-0.4784,-0.2656,-0.0725,-0.2326,0.9532,-0.3461,-0.8036
"racine",-0.0728,-0.0427,2.9488,-0.2258,-0.0243,0.7836,-0.3693,-0.2689,-0.2699
"mal1",-2.7669,0.2899,-12.7314,-1.1317,0.446,-1.4738,-5.8651,-0.6798,-4.7496
"medicion",-0.0071,-0.0042,-0.0327,-0.0221,-0.0024,-0.0076,-0.0361,-0.0263,-0.0264
"jus1",-0.2956,0.4826,-0.7429,-0.1886,0.6913,-0.3172,-1.4995,-1.0917,-1.0958
"pechié",-0.4647,-0.5729,-4.4938,-1.5188,-0.3266,1.4415,-0.6992,-1.0763,0.4908
"restre",-0.2074,-0.1217,-0.9545,-0.2482,-0.0694,-0.2226,-0.517,-0.7662,-0.7691
"fuer2",-0.0996,-0.0584,-0.4584,-0.309,-0.0333,-0.1069,-0.5054,-0.3679,-0.3693
"vilenie",-0.168,-0.0986,-0.7732,-0.5212,-0.0562,-0.1803,-0.8525,0.3795,-0.623
"mauvaistié",-0.0701,-0.0411,0.2807,-0.2173,-0.0234,-0.0752,-0.3554,0.9217,-0.2597
"bien2",-0.554,-0.325,-2.5489,-1.0224,-0.1852,0.4012,0.6949,-2.0461,0.2934
"afaitier",-0.093,-0.0546,-0.4281,-0.2886,-0.0311,-0.0998,-0.472,-0.3437,-0.345
"valoir",-1.124,-0.6593,-3.246,-1.379,-0.3759,-0.6286,-3.0195,-3.1268,-4.1669
"mauvais",-0.1738,-0.3006,2.4216,-0.533,-0.1713,-0.5498,0.4111,0.8258,0.3547
"assentir1",-0.0345,-0.0202,-0.1587,-0.107,-0.0115,-0.037,-0.1749,-0.1274,-0.1278
"desraisnier",-0.0192,-0.0112,-0.0881,-0.0594,-0.0064,-0.0206,-0.0972,-0.0708,-0.071
"dont",5.1353,1.7265,15.9031,4.0413,0.9081,2.2496,9.7446,3.7101,2.0962
"querre",-6.014,-6.249,-65.9458,-44.3411,-3.9323,-13.9237,-81.0983,-60.2102,-60.4496
"finer",-0.324,-0.1901,-0.4756,1.5199,-0.1084,-0.3477,0.7451,-0.3177,0.2829
"ice2",-0.3377,-0.1981,-1.554,-0.5139,-0.1129,-0.3624,-1.7133,-1.2474,-1.252
"droiture",0.4703,0.6669,0.5298,-0.198,-0.06,0.4458,2.861,1.7121,0.3447
"movoir",-0.2044,-0.333,1.3773,1.2714,-0.1898,-0.6091,-0.6761,1.9804,0.45
"escriture",0.4736,0.6704,0.251,-0.5518,-0.0595,-0.1909,0.4651,1.7273,0.3492
"monter",-0.9646,-0.5659,-3.3872,-0.7349,-0.3226,-1.035,-4.8936,-1.9291,-1.9395
"siecle",0.8562,0.276,1.7554,2.1117,1.1571,1.875,7.6408,3.3991,5.0069
"lever",0.7633,-0.1948,0.3918,2.0561,0.2886,-0.4856,-1.8055,0.7456,0.9562
"vil1",-0.139,-0.0816,-0.6397,-0.4312,-0.0465,-0.1492,-0.7053,0.4813,-0.5154
"blasme",-0.081,2.2574,-0.3727,-0.2513,2.7322,-0.0869,-0.411,-0.2992,-0.3003
"lait1",-0.2392,0.5589,-0.2704,-0.742,-0.08,-0.2567,-0.6333,0.4798,-0.1761
"crime",-0.0159,-0.0093,-0.073,-0.0492,-0.0053,-0.017,-0.0805,-0.0586,-0.0588
"des2",-0.3219,-0.1888,-0.8355,-0.4794,-0.1076,-0.3453,-1.6328,-1.1888,-0.3158
"rai",-0.0268,-0.0157,-0.1234,-0.0832,-0.009,-0.0288,-0.1361,-0.0991,0.6891
"dusque",-0.1686,-0.0989,-0.7757,-0.5229,-0.0564,-0.1809,-0.8552,-0.6227,-0.625
"cien",-0.0148,-0.0087,-0.068,-0.0458,-0.0049,-0.0159,-0.075,-0.0546,-0.0548
"aussi",2.884,1.7334,11.2987,2.4839,0.2404,0.2867,6.1449,1.5072,4.3051
"come1",1.7168,7.0258,8.5275,8.6941,-0.2272,0.8845,4.8345,4.3962,3.0962
"ci",-0.307,-0.2008,-0.6996,-3.0977,0.8894,-0.6169,-2.7591,-2.6428,-1.149
"retraire",0.2182,-0.2367,-0.2382,0.2606,-0.1349,0.2,-0.819,0.5854,-0.4785
"semblance",-0.1554,-0.0912,0.3106,-0.1574,-0.052,0.4963,3.2614,-0.2077,0.8297
"ramener",-0.1045,-0.0613,-0.481,0.7658,-0.035,-0.1122,-0.5304,0.2299,0.2289
"estovoir1",-0.6131,-0.3597,-2.821,-1.9018,-0.205,-0.6578,-1.5791,-2.2645,-2.2729
"deviser",-0.37,-0.2171,-0.6004,-0.2935,-0.1237,0.2225,0.3652,-0.7482,-0.4093
"branche",-0.0504,-0.0295,-0.2317,-0.1562,-0.0168,-0.054,-0.2555,-0.186,-0.1867
"pont",-0.2211,-0.1297,-1.0175,-0.6859,-0.0739,-0.2373,-1.1218,-0.8168,0.2502
"planchor",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"passer1",-0.958,-0.2013,-3.3596,-1.0423,-0.3204,-0.5005,-2.3678,-2.5763,-1.423
"estroit",-0.0996,0.9,0.5474,0.2932,-0.0333,-0.1069,-0.5054,0.2431,0.242
"passage",-0.0438,-0.0257,-0.2015,-0.1358,-0.0146,-0.047,-0.2221,-0.1617,-0.1623
"clerc",0.684,-0.2151,1.0117,1.3035,0.609,-0.3935,11.3469,2.3297,1.0162
"sage",0.4603,-0.1844,-3.1446,-1.3568,-0.3032,-0.462,-3.5337,-2.4075,-1.2945
"braz",-0.4012,-0.2354,-1.1248,-1.2446,-0.1342,-0.4305,0.4862,-0.8365,-1.4875
"joie",2.9717,-0.7631,-1.7842,-1.3358,-0.435,-0.4232,4.7153,0.502,-0.4791
"enseignier",0.4545,0.7825,-0.3033,1.3811,-0.1799,-0.2099,0.9887,0.5114,5.2122
"loing",0.2608,1.0964,3.4036,0.9856,0.6317,0.6773,0.6621,0.7626,-0.3606
"chiere",-0.2058,-0.1207,-0.4436,-0.6384,-0.0688,-0.2208,-0.5111,-0.7602,-0.763
"mencïon",-0.0476,-0.0279,0.4021,0.5401,-0.0159,-0.0511,-0.2416,-0.1759,-0.1765
"entencïon",-0.0443,-0.026,-0.204,-0.1375,-0.0148,-0.0476,-0.2249,-0.1638,-0.1644
"en1+le",-1.3401,-0.4378,0.6489,-1.2606,-1.3513,-0.4735,-2.9729,-2.4889,1.1968
"verai",1.3305,-0.2029,2.364,-0.532,-0.1157,1.9494,3.5611,4.262,8.6445
"autrement",-0.1626,-0.0954,-0.3122,-0.1691,-0.0544,-0.1744,-0.3615,-0.6004,-0.6027
"ice1",-0.4302,-0.2524,-1.2336,-0.724,0.5498,-0.4616,-0.9099,-1.5891,0.5148
"noif",-0.0651,-0.0382,-0.2997,-0.202,-0.0218,-0.0699,-0.3304,0.9737,-0.2415
"crëance",0.4241,-0.1204,-0.1999,0.7407,-0.0686,-0.2202,1.4614,11.2995,6.5248
"autre",-0.5521,-0.4851,3.8635,0.492,0.2661,1.3085,1.0033,1.4081,2.4674
"entendre",0.5474,-0.4155,1.369,0.3771,-0.1757,-0.5727,0.7057,6.4616,-0.3483
"atendre",0.7025,-0.3898,-0.3503,-1.3012,-0.2222,0.6438,-0.3099,-0.7308,-1.1049
"ce2",-1.945,-1.141,-8.9495,-6.0333,-0.6504,-2.087,-9.8674,-7.1842,-7.2107
"crëant",-0.0071,-0.0042,-0.0327,-0.0221,-0.0024,-0.0076,-0.0361,-0.0263,-0.0264
"avenir",-0.6022,2.2483,4.4543,18.32,0.6427,1.5524,5.6596,9.3717,0.6898
"garir",-0.5009,0.3084,-0.4084,-1.5536,-0.1675,-0.5374,-2.541,-1.1282,-1.1337
"vers2",-0.3343,-0.9819,-1.2024,-1.3247,-0.2,-1.796,-0.3709,-2.3223,0.341
"fresce",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"novele",0.617,1.7339,-0.7088,-1.265,0.5695,-0.1347,0.2885,-0.2635,-0.8596
"iver2",-0.0925,-0.0543,0.2043,-0.2869,-0.0309,-0.0993,-0.4693,0.2639,0.2628
"gäaing",-0.1768,-0.1037,-0.8135,-0.5484,-0.0591,-0.1897,-0.8969,-0.653,-0.6554
"aquerre",-0.1122,-0.0658,0.4785,1.3274,-0.0375,1.4967,0.842,-0.4144,0.2102
"valor",-0.1051,-0.0616,-0.4835,-0.326,-0.0351,-0.1128,-0.5331,0.2285,-0.3896
"ne1+il",-0.1538,-0.0902,2.2003,-0.4771,-0.0514,-0.165,-0.7803,0.8427,-0.2054
"tolir",-0.5813,-0.341,-1.8189,-0.6631,-0.1944,-0.2368,1.6778,0.4294,-1.3789
"chalor",-0.0826,-0.0485,3.5653,-0.2564,-0.0276,-0.0887,-0.4193,2.249,1.4655
"gent1",0.4637,-0.9979,-1.966,-1.5101,-0.4543,-2.1766,-0.6013,0.5901,0.8122
"encombrer",-0.0777,-0.0456,-0.3576,-0.2411,-0.026,-0.0834,-0.3943,-0.2871,-0.2881
"rendre",-0.2374,-0.3744,-1.4721,3.0377,-0.1569,2.9522,6.4644,-1.3893,0.6033
"ombre",-0.1095,-0.0642,-0.5037,-0.3396,-0.0366,-0.1175,-0.5553,0.2176,-0.4058
"ardre",-0.6229,-0.3654,-1.3963,-0.7451,0.4191,-0.6684,0.7091,1.0566,1.7028
"assalir",0.329,-0.1612,-1.2643,-0.8523,-0.0919,-0.2948,-1.394,-1.0149,-1.0187
"fueille",-0.0367,-0.0215,0.4922,-0.1138,-0.0123,-0.0393,2.0384,-0.1354,-0.1359
"covrir",-0.2715,-0.1593,0.4907,-0.8421,-0.0908,-0.2913,1.3794,2.0338,-0.2272
"sentir",-0.5074,-0.2977,1.3343,-0.524,-0.1697,-0.1914,0.6145,-0.2446,-1.1535
"jol",-0.0038,-0.0022,-0.0176,-0.0119,-0.0013,-0.0041,-0.0194,-0.0142,-0.0142
