"","LiSaintAlexis.txt","LiSaintJerome.txt","LiSaintDialogues.txt","LiSaintBenoit.txt","LiSaintBrice.txt","LiSaintGilles.txt","LiSaintNicolas.txt","LiSaintMartin.txt","LiSaintMarcel.txt"
"lez",-0.1795,-0.1053,-0.3625,-0.5569,-0.06,-0.1926,-0.9108,-0.2599,-0.6656
"estoner",-0.023,-0.0135,-0.1058,-0.0713,-0.0077,-0.0247,-0.1166,-0.0849,-0.0852
"enchëoir",-0.0126,-0.0074,-0.0579,-0.039,-0.0042,-0.0135,0.8641,-0.0465,-0.0467
"chancele",-0.0027,-0.0016,-0.0126,-0.0085,-9e-04,-0.0029,-0.0139,-0.0101,-0.0101
"afermement",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"si+te",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"covoir1",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"isnelement",0.439,-0.1153,0.8061,2.5045,0.8526,0.415,4.5937,-0.2984,-0.3001
"sore",-0.1155,-0.0677,0.4624,-0.3582,1.0701,-0.1239,-0.2142,-0.4266,0.2028
"devin1",-0.0744,-0.0437,1.347,-0.2309,-0.0249,0.7747,-0.3776,0.879,0.3276
"desonorer",-0.0219,-0.0128,-0.1007,-0.0679,-0.0073,-0.0235,-0.1111,-0.0809,-0.0812
"jesiber",-0.0044,-0.0026,-0.0201,-0.0136,-0.0015,-0.0047,-0.0222,-0.0162,-0.0162
"tondre1",-0.0109,-0.0064,-0.0504,-0.034,-0.0037,-0.0117,0.9207,-0.0404,-0.0406
"derrecier(e)",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"cointement",-0.0307,-0.018,-0.141,-0.0951,-0.0102,-0.0329,-0.1555,-0.1132,-0.1136
"resleste",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"mestir",-0.0142,-0.0083,-0.0655,-0.0441,-0.0048,-0.0153,-0.0722,-0.0526,-0.0528
"piz",0.4746,-0.104,-0.816,-0.1942,-0.0593,-0.1903,-0.1811,-0.655,-0.6575
"tranter",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"plaidier2",-0.052,-0.0305,-0.2392,-0.1613,-0.0174,-0.0558,-0.2638,-0.1921,-0.1928
"chëe",-0.0022,-0.0013,-0.0101,-0.0068,-7e-04,-0.0023,-0.0111,-0.0081,-0.0081
"agu",-0.0657,-0.0385,-0.3022,-0.2037,-0.022,-0.0705,-0.3332,-0.2426,-0.2435
"areistre",-0.0027,-0.0016,-0.0126,-0.0085,-9e-04,-0.0029,-0.0139,-0.0101,-0.0101
"descirier",0.7409,-0.0511,0.2202,-0.2699,-0.0291,-0.0934,1.7119,-0.3214,0.2805
"françois",-0.283,-0.166,-1.3021,-0.8778,-0.0946,-0.3036,-1.4356,-1.0452,-1.0491
"feindre",-0.1013,-0.0594,-0.4659,-0.3141,-0.0339,-0.1086,-0.1739,-0.374,-0.3754
"debrisier",-0.0197,-0.0116,0.7249,-0.0611,-0.0066,-0.0211,1.6543,1.9124,1.9093
"crace",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"vouchier",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"acuser",-0.0471,-0.0276,-0.2166,-0.146,-0.0157,-0.0505,-0.2388,-0.1739,-0.1745
"desmesurer",1.0234,-0.0254,0.4347,-0.1341,-0.0145,-0.0464,-0.2194,0.5119,4.4294
"laidengier",0.8207,1.0379,2.9929,1.8323,1.2732,-0.0763,0.6962,0.9107,-0.2638
"emploiier",0.8238,-0.0414,-0.3249,-0.219,-0.0236,-0.0758,-0.3582,-0.2608,-0.2618
"menüement",-0.0153,-0.009,-0.0705,-0.0475,-0.0051,-0.0164,-0.0777,-0.0566,-0.0568
"nés",-0.0925,-0.0543,-0.4256,-0.2869,-0.0309,-0.0993,-0.4693,0.2639,0.2628
"trans",-0.0044,-0.0026,-0.0201,-0.0136,-0.0015,-0.0047,-0.0222,-0.0162,-0.0162
"mesaderie",-0.0022,-0.0013,-0.0101,-0.0068,-7e-04,-0.0023,-0.0111,-0.0081,-0.0081
"denz",-0.0049,-0.0029,-0.0227,-0.0153,-0.0016,-0.0053,-0.025,-0.0182,-0.0183
"estrangier2",-0.0383,-0.0225,-0.1763,-0.1188,-0.0128,-0.0411,-0.1944,-0.1415,-0.142
"destreindre",-0.1149,-0.0674,0.4651,1.3019,-0.0384,-0.1233,1.9334,1.1228,-0.4261
"trepple",-0.0038,-0.0022,-0.0176,-0.0119,-0.0013,-0.0041,-0.0194,-0.0142,-0.0142
"serre2",-0.023,-0.0135,-0.1058,-0.0713,-0.0077,-0.0247,-0.1166,-0.0849,-0.0852
"prochainement",-0.029,-0.017,-0.1335,-0.09,-0.0097,-0.0311,-0.1472,-0.1071,-0.1075
"jornee",-0.121,-0.071,-0.5566,-0.3752,-0.0404,0.5878,-0.2303,-0.139,-0.4484
"pome",-0.0783,-0.0459,-0.3601,-0.2428,-0.0262,-0.084,-0.3971,-0.2891,-0.2902
"mahaillier1",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"recroire",-0.0892,-0.0523,-0.4105,-0.2767,-0.0298,-0.0957,-0.4526,-0.3295,0.2732
"esforz1",-0.017,-0.01,-0.0781,-0.0526,-0.0057,-0.0182,-0.0861,-0.0627,-0.0629
"dessachier2",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"debatre",-0.0257,-0.0151,-0.1184,-0.0798,-0.0086,-0.0276,1.4397,-0.095,-0.0954
"troias",-0.0142,-0.0083,-0.0655,-0.0441,-0.0048,-0.0153,-0.0722,-0.0526,-0.0528
"eleine",-0.0224,-0.0132,-0.1033,-0.0696,-0.0075,-0.0241,-0.1138,-0.0829,-0.0832
"troie",-0.0717,-0.0421,-0.3299,-0.2224,-0.024,-0.0769,-0.3637,-0.2648,-0.2658
"deslëaut",-0.0109,-0.0064,-0.0504,-0.034,-0.0037,-0.0117,-0.0555,-0.0404,-0.0406
"parent",-0.2605,-0.1528,-1.1988,-0.8082,-0.0871,-0.2796,-0.382,-0.4543,0.4174
"chacier",-0.3027,0.4742,0.4012,-0.1979,-0.1012,2.9859,-0.5011,2.3144,-0.5671
"bende",-0.0192,-0.0112,-0.0881,-0.0594,-0.0064,-0.0206,-0.0972,-0.0708,-0.071
"roianois",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"pasmaison",-0.0279,-0.0164,-0.1284,-0.0866,-0.0093,-0.03,-0.1416,-0.1031,-0.1035
"relenquir",-0.0307,-0.018,-0.141,-0.0951,-0.0102,-0.0329,-0.1555,-0.1132,-0.1136
"aatir",-0.0181,-0.0106,-0.0831,-0.056,-0.006,-0.0194,-0.0916,-0.0667,-0.067
"bruire",-0.0279,-0.0164,-0.1284,-0.0866,-0.0093,-0.03,-0.1416,-0.1031,-0.1035
"confès",-0.0608,-0.0356,-0.2795,-0.1885,-0.0203,-0.0652,-0.3082,-0.2244,-0.2252
"rejehir",-0.0903,-0.053,5.1938,0.323,-0.0302,-0.0969,-0.1446,1.3736,0.2697
"covoir",-0.0241,-0.0141,-0.1108,-0.0747,-0.0081,-0.0258,-0.1222,-0.089,-0.0893
"soudre",-0.0066,-0.0039,-0.0302,-0.0204,-0.0022,-0.007,-0.0333,-0.0243,-0.0243
"chantele",-0.0049,-0.0029,-0.0227,-0.0153,-0.0016,-0.0053,-0.025,-0.0182,-0.0183
"fais",-0.0465,2.7279,-0.2141,-0.1443,-0.0156,-0.0499,-0.236,-0.1718,-0.1725
"confesser",-0.0553,-0.0324,-0.2544,-0.1715,-0.0185,-0.0593,-0.2804,-0.2042,-0.2049
"bernart",-0.0476,-0.0279,-0.2191,-0.1477,-0.0159,-0.0511,-0.2416,-0.1759,-0.1765
"afoler1",-0.0443,-0.026,-0.204,-0.1375,-0.0148,-0.0476,-0.2249,-0.1638,-0.1644
"tesmoin",-0.0832,-0.0488,5.4567,0.3487,-0.0278,-0.0893,0.2065,0.8024,0.2938
"espart",-0.0208,-0.0122,-0.0957,0.86,-0.007,-0.0223,-0.1055,-0.0768,0.7887
"harcioi",-0.0082,-0.0048,-0.0378,-0.0255,-0.0027,-0.0088,-0.0417,-0.0303,-0.0304
"estant",-0.017,-0.01,-0.0781,-0.0526,-0.0057,-0.0182,-0.0861,-0.0627,-0.0629
"depriier",-0.0591,-0.0347,-0.272,0.4629,-0.0198,-0.0634,0.8199,-0.2183,2.7644
"emperëor",9.1023,-0.2299,2.0362,-3.2351,-0.3487,-1.119,11.4085,5.2184,0.5536
"per",-0.2896,-0.1699,-1.3323,-0.8982,-0.0968,-0.3107,-1.469,-1.0695,-1.0735
"pechëor",1.7506,-0.1384,-1.0855,-0.7318,-0.0789,-0.2531,-0.3173,-0.3926,-0.8746
"gorpilable",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"repentage",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"erranment",-0.052,-0.0305,-0.2392,-0.1613,-0.0174,-0.0558,-0.2638,-0.1921,-0.1928
"doctriner",1.0735,1.2973,0.4767,6.4282,-0.0128,1.0442,2.9658,1.3737,3.4703
"quinzaine",-0.0213,-0.0125,-0.0982,-0.0662,-0.0071,-0.0229,-0.1083,-0.0788,-0.0791
"marrir",-0.0608,-0.0356,-0.2795,-0.1885,-0.0203,-0.0652,-0.3082,-0.2244,-0.2252
"maladi",-0.017,-0.01,-0.0781,-0.0526,-0.0057,-0.0182,-0.0861,-0.0627,-0.0629
"moigniee",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"geline",-0.0246,-0.0144,-0.1133,-0.0764,-0.0082,-0.0264,-0.125,-0.091,-0.0913
"rongier2",-0.0044,-0.0026,-0.0201,-0.0136,-0.0015,-0.0047,-0.0222,-0.0162,-0.0162
"eschine",-0.0389,-0.0228,-0.1788,-0.1205,-0.013,-0.0417,-0.1971,-0.1435,-0.1441
"tentacïon",-0.0394,-0.0231,-0.1813,2.538,-0.0132,-0.0423,-0.1999,0.5455,0.5441
"vestement",-0.0553,-0.0324,0.3533,-0.1715,1.3802,-0.0593,1.5658,-0.2042,1.0909
"onestement",-0.0115,-0.0067,-0.0529,-0.0357,-0.0038,-0.0123,-0.0583,-0.0425,-0.0426
"sautier2",-0.0394,1.2854,-0.1813,-0.1222,-0.0132,-0.0423,0.4331,0.5455,0.5441
"sorarner",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"thiebros",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"vuel",-0.0208,-0.0122,-0.0957,-0.0645,-0.007,-0.0223,-0.1055,-0.0768,-0.0771
"escher1",-0.0022,-0.0013,-0.0101,-0.0068,-7e-04,-0.0023,-0.0111,-0.0081,-0.0081
"oblïance",-0.0296,-0.0173,-0.136,-0.0917,-0.0099,-0.0317,-0.1499,-0.1092,-0.1096
"obedïence",-0.0394,1.2854,12.2785,2.538,-0.0132,-0.0423,-0.1999,-0.1456,-0.1461
"endemain",-0.1927,-0.113,-0.8865,-0.5976,-0.0644,-0.2067,-0.9774,-0.7116,-0.7143
"terrïer",-0.0055,-0.0032,-0.0252,-0.017,-0.0018,-0.0059,-0.0278,-0.0202,-0.0203
"larrecin",-0.0476,1.2056,0.4021,-0.1477,-0.0159,-0.0511,0.3699,0.4775,-0.1765
"aunoisne",-0.0055,-0.0032,-0.0252,-0.017,-0.0018,-0.0059,-0.0278,-0.0202,-0.0203
"cloistre",-0.0219,-0.0128,-0.1007,-0.0679,-0.0073,-0.0235,-0.1111,-0.0809,-0.0812
"präel",-0.0235,-0.0138,-0.1083,-0.073,-0.0079,-0.0253,-0.1194,-0.0869,-0.0873
"grais",-0.0153,-0.009,-0.0705,-0.0475,-0.0051,-0.0164,-0.0777,-0.0566,-0.0568
